"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","308"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement Cross-Border Rail","Number","10509"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement Cross-Border Bus","Number","38826"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Air from All Airports","Number","20533"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","16833"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Air from Cork Airport","Number","1062"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","2638"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","556"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2082"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","56611"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","55813"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","798"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","13980"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","47413"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Air from All Airports","Number","36367"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","30723"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","1794"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","3850"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2645"
"Passenger Movement","1961M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1205"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Sea to All Countries","Number","30951"
