"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2009","Thousand","1885"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2010","Thousand","1119"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2011","Thousand","957"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2012","Thousand","498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2013","Thousand","569"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2014","Thousand","650"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2015","Thousand","863"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2016","Thousand","852"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2017","Thousand","933"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2018","Thousand","963"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2019","Thousand","932"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2009","Thousand","1780"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2010","Thousand","1584"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2011","Thousand","1384"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2012","Thousand","895"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2013","Thousand","1670"
