"Statistic Label","Area of Residence","Reason for Journey","Year","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2010","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2011","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2012","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2013","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2014","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2015","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2016","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2017","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2018","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2019","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2009","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2010","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2011","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2012","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2013","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2014","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2015","%","32"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2016","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2017","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2018","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","All reasons for journey","2019","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2009","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2010","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2011","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2012","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2013","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2014","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2015","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2016","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2017","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2018","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2019","%","54"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2009","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2010","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2011","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2012","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2013","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2014","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2015","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2016","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2017","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2018","%","35"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2019","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2009","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2010","%","4"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2011","%","4"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2012","%","3"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2013","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2014","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2015","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2016","%","7"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2017","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2018","%","10"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2019","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2009","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2010","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2011","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2012","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2013","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2014","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2015","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2016","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2017","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2018","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2019","%","45"
