"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2014","Thousand","1086"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2015","Thousand","1605"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2016","Thousand","1703"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2017","Thousand","1633"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2018","Thousand","1731"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2019","Thousand","2202"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2009","Thousand","1158"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2010","Thousand","928"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2011","Thousand","988"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2012","Thousand","836"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2013","Thousand","952"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2014","Thousand","1144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2015","Thousand","1478"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2016","Thousand","1962"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2017","Thousand","2277"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2018","Thousand","1793"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2019","Thousand","1794"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2009","Thousand","18177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2010","Thousand","15110"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2011","Thousand","14785"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2012","Thousand","13331"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2013","Thousand","14336"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2014","Thousand","16096"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2015","Thousand","15794"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2016","Thousand","17219"
