"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Visit to friends/relatives","1992","Expenditure by Irish Residents Abroad","Euro Million","264"
"Visit to friends/relatives","1992","Visits Abroad by Irish Residents","Thousand","610"
"Visit to friends/relatives","1992","Average Length of Stay Abroad by Irish Residents","Nights","9.7"
"Visit to friends/relatives","1993","Expenditure by Vistors to Ireland","Euro Million","282"
"Visit to friends/relatives","1993","Visitors to Ireland","Thousand","980"
"Visit to friends/relatives","1993","Average Length of Stay by Visitors to Ireland","Nights","9.5"
"Visit to friends/relatives","1993","Expenditure by Irish Residents Abroad","Euro Million","277"
"Visit to friends/relatives","1993","Visits Abroad by Irish Residents","Thousand","622"
"Visit to friends/relatives","1993","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"Visit to friends/relatives","1994","Expenditure by Vistors to Ireland","Euro Million","321"
"Visit to friends/relatives","1994","Visitors to Ireland","Thousand","1031"
"Visit to friends/relatives","1994","Average Length of Stay by Visitors to Ireland","Nights","10"
"Visit to friends/relatives","1994","Expenditure by Irish Residents Abroad","Euro Million","338"
"Visit to friends/relatives","1994","Visits Abroad by Irish Residents","Thousand","681"
"Visit to friends/relatives","1994","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Visit to friends/relatives","1995","Expenditure by Vistors to Ireland","Euro Million","329"
"Visit to friends/relatives","1995","Visitors to Ireland","Thousand","1014"
"Visit to friends/relatives","1995","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"Visit to friends/relatives","1995","Expenditure by Irish Residents Abroad","Euro Million","325"
"Visit to friends/relatives","1995","Visits Abroad by Irish Residents","Thousand","635"
"Visit to friends/relatives","1995","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Visit to friends/relatives","1996","Expenditure by Vistors to Ireland","Euro Million","376"
"Visit to friends/relatives","1996","Visitors to Ireland","Thousand","1139"
"Visit to friends/relatives","1996","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"Visit to friends/relatives","1996","Expenditure by Irish Residents Abroad","Euro Million","363"
"Visit to friends/relatives","1996","Visits Abroad by Irish Residents","Thousand","721"
"Visit to friends/relatives","1996","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"Visit to friends/relatives","1997","Expenditure by Vistors to Ireland","Euro Million","403"
"Visit to friends/relatives","1997","Visitors to Ireland","Thousand","1231"
"Visit to friends/relatives","1997","Average Length of Stay by Visitors to Ireland","Nights","9.2"
"Visit to friends/relatives","1997","Expenditure by Irish Residents Abroad","Euro Million","455"
"Visit to friends/relatives","1997","Visits Abroad by Irish Residents","Thousand","864"
"Visit to friends/relatives","1997","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"Visit to friends/relatives","1998","Expenditure by Vistors to Ireland","Euro Million","434"
"Visit to friends/relatives","1998","Visitors to Ireland","Thousand","1290"
"Visit to friends/relatives","1998","Average Length of Stay by Visitors to Ireland","Nights","9"
"Visit to friends/relatives","1998","Expenditure by Irish Residents Abroad","Euro Million","502"
"Visit to friends/relatives","1998","Visits Abroad by Irish Residents","Thousand","917"
"Visit to friends/relatives","1998","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"Visit to friends/relatives","1999","Expenditure by Vistors to Ireland","Euro Million","453"
"Visit to friends/relatives","1999","Visitors to Ireland","Thousand","1439"
"Visit to friends/relatives","1999","Average Length of Stay by Visitors to Ireland","Nights","8.3"
