"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Other countries (24)","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","81"
"Other countries (24)","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","12"
"Other countries (24)","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","99"
"Other countries (24)","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.4"
"Other countries (24)","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","94"
"Other countries (24)","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.2"
"Other countries (24)","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","91"
"Other countries (24)","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"Other countries (24)","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","96"
"Other countries (24)","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","35.3"
"Other countries (24)","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Other countries (24)","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Other countries (24)","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","36.6"
"Other countries (24)","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Other countries (24)","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Other countries (24)","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","31.2"
"Other countries (24)","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Other countries (24)","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","29.3"
"Other countries (24)","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Other countries (24)","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Other countries (24)","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","28.2"
"Other countries (24)","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","56"
"Other countries (24)","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Other countries (24)","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","30"
"Other countries (24)","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"Other countries (24)","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Other countries (24)","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","29.5"
"Other countries (24)","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","87"
"Other countries (24)","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Other countries (24)","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","27.6"
"Other countries (24)","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"Other countries (24)","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Other countries (24)","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","25.5"
"Other countries (24)","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Other countries (24)","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
