"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Germany","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","467"
"Germany","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Germany","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","446"
"Germany","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Germany","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","133"
"Germany","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Germany","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","158"
"Germany","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Germany","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","196"
"Germany","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Germany","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","232"
"Germany","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Germany","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Germany","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"Germany","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Germany","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Germany","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","285"
"Germany","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Germany","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","289"
"Germany","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Germany","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","344"
"Germany","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Germany","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","320"
"Germany","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Germany","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Germany","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Germany","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Germany","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Germany","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Germany","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Germany","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Germany","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"Germany","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Germany","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Germany","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Germany","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Germany","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Germany","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Germany","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Germany","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Germany","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Germany","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Germany","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Germany","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Germany","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Germany","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Germany","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Germany","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"Germany","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Germany","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Germany","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Germany","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Germany","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Germany","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Germany","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Germany","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Germany","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Germany","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Germany","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Germany","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"Germany","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Germany","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Germany","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","17"
"Germany","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","57"
"Germany","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.2"
"Germany","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Germany","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","25.7"
"Germany","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Germany","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.4"
"Germany","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Germany","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","29.1"
"Germany","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Germany","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","18.2"
"Germany","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Germany","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"Germany","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
