"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"Other Areas","1996","Expenditure by Visitors to Ireland","Euro Million","114"
"Other Areas","1996","Visitors to Ireland","Thousand","174"
"Other Areas","1996","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.4"
"Other Areas","1997","Expenditure by Visitors to Ireland","Euro Million","121"
"Other Areas","1997","Visitors to Ireland","Thousand","201"
"Other Areas","1997","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.1"
"Other Areas","1998","Expenditure by Visitors to Ireland","Euro Million","128"
"Other Areas","1998","Visitors to Ireland","Thousand","216"
"Other Areas","1998","Average Length of Stay in Nights by Visitors to Ireland","Nights","12"
"Other Areas","1999","Expenditure by Visitors to Ireland","Euro Million","141"
"Other Areas","1999","Visitors to Ireland","Thousand","233"
"Other Areas","1999","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.5"
"Other Areas","2000","Expenditure by Visitors to Ireland","Euro Million","175"
"Other Areas","2000","Visitors to Ireland","Thousand","256"
"Other Areas","2000","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.6"
"Other Areas","2001","Expenditure by Visitors to Ireland","Euro Million","207"
"Other Areas","2001","Visitors to Ireland","Thousand","260"
"Other Areas","2001","Average Length of Stay in Nights by Visitors to Ireland","Nights","13.8"
"Other Areas","2002","Expenditure by Visitors to Ireland","Euro Million","227"
"Other Areas","2002","Visitors to Ireland","Thousand","245"
"Other Areas","2002","Average Length of Stay in Nights by Visitors to Ireland","Nights","15.1"
"Other Areas","2003","Expenditure by Visitors to Ireland","Euro Million","235"
"Other Areas","2003","Visitors to Ireland","Thousand","249"
"Other Areas","2003","Average Length of Stay in Nights by Visitors to Ireland","Nights","15.9"
"Other Areas","2004","Expenditure by Visitors to Ireland","Euro Million","255"
"Other Areas","2004","Visitors to Ireland","Thousand","317"
"Other Areas","2004","Average Length of Stay in Nights by Visitors to Ireland","Nights","14"
"Other Areas","2005","Expenditure by Visitors to Ireland","Euro Million","234"
"Other Areas","2005","Visitors to Ireland","Thousand","285"
"Other Areas","2005","Average Length of Stay in Nights by Visitors to Ireland","Nights","13.4"
"Other Areas","2006","Expenditure by Visitors to Ireland","Euro Million","265"
"Other Areas","2006","Visitors to Ireland","Thousand","314"
"Other Areas","2006","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.4"
"Other Areas","2007","Expenditure by Visitors to Ireland","Euro Million","326"
"Other Areas","2007","Visitors to Ireland","Thousand","317"
"Other Areas","2007","Average Length of Stay in Nights by Visitors to Ireland","Nights","14.5"
"Other Areas","2008","Expenditure by Visitors to Ireland","Euro Million","315"
"Other Areas","2008","Visitors to Ireland","Thousand","352"
"Other Areas","2008","Average Length of Stay in Nights by Visitors to Ireland","Nights","15.2"
