"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"Continental European","1992","Visits Abroad by Irish Residents","Euro Million","382"
"Continental European","1993","Visitors to Ireland","Euro Million","376"
"Continental European","1993","Visits Abroad by Irish Residents","Euro Million","392"
"Continental European","1994","Visitors to Ireland","Euro Million","366"
"Continental European","1994","Visits Abroad by Irish Residents","Euro Million","460"
"Continental European","1995","Visitors to Ireland","Euro Million","390"
"Continental European","1995","Visits Abroad by Irish Residents","Euro Million","594"
"Continental European","1996","Visitors to Ireland","Euro Million","452"
"Continental European","1996","Visits Abroad by Irish Residents","Euro Million","636"
"Continental European","1997","Visitors to Ireland","Euro Million","437"
"Continental European","1997","Visits Abroad by Irish Residents","Euro Million","720"
"Continental European","1998","Visitors to Ireland","Euro Million","453"
"Continental European","1998","Visits Abroad by Irish Residents","Euro Million","879"
"Continental European","1999","Visitors to Ireland","Euro Million","509"
"Continental European","1999","Visits Abroad by Irish Residents","Euro Million","1112"
"Continental European","2000","Visitors to Ireland","Euro Million","603"
"Continental European","2000","Visits Abroad by Irish Residents","Euro Million","1382"
"Continental European","2001","Visitors to Ireland","Euro Million","690"
"Continental European","2001","Visits Abroad by Irish Residents","Euro Million","1699"
"Continental European","2002","Visitors to Ireland","Euro Million","747"
"Continental European","2002","Visits Abroad by Irish Residents","Euro Million","2237"
"Continental European","2003","Visitors to Ireland","Euro Million","794"
"Continental European","2003","Visits Abroad by Irish Residents","Euro Million","2452"
"Continental European","2004","Visitors to Ireland","Euro Million","841"
"Continental European","2004","Visits Abroad by Irish Residents","Euro Million","2480"
"Continental European","2005","Visitors to Ireland","Euro Million","1076"
"Continental European","2005","Visits Abroad by Irish Residents","Euro Million","2846"
"Continental European","2006","Visitors to Ireland","Euro Million","1310"
"Continental European","2006","Visits Abroad by Irish Residents","Euro Million","3402"
"Continental European","2007","Visitors to Ireland","Euro Million","1464"
"Continental European","2007","Visits Abroad by Irish Residents","Euro Million","3969"
"Continental European","2008","Visitors to Ireland","Euro Million","1575"
"Continental European","2008","Visits Abroad by Irish Residents","Euro Million","4229"
"Transatlantic","1976","Visitors to Ireland","Euro Million","33"
"Transatlantic","1976","Visits Abroad by Irish Residents","Euro Million","13"
"Transatlantic","1977","Visitors to Ireland","Euro Million","46"
"Transatlantic","1977","Visits Abroad by Irish Residents","Euro Million","18"
"Transatlantic","1978","Visitors to Ireland","Euro Million","44"
"Transatlantic","1978","Visits Abroad by Irish Residents","Euro Million","23"
"Transatlantic","1979","Visitors to Ireland","Euro Million","53"
"Transatlantic","1979","Visits Abroad by Irish Residents","Euro Million","37"
"Transatlantic","1980","Visitors to Ireland","Euro Million","50"
"Transatlantic","1980","Visits Abroad by Irish Residents","Euro Million","51"
"Transatlantic","1981","Visitors to Ireland","Euro Million","55"
"Transatlantic","1981","Visits Abroad by Irish Residents","Euro Million","63"
"Transatlantic","1982","Visitors to Ireland","Euro Million","75"
"Transatlantic","1982","Visits Abroad by Irish Residents","Euro Million","70"
"Transatlantic","1983","Visitors to Ireland","Euro Million","94"
"Transatlantic","1983","Visits Abroad by Irish Residents","Euro Million","55"
"Transatlantic","1984","Visitors to Ireland","Euro Million","122"
"Transatlantic","1984","Visits Abroad by Irish Residents","Euro Million","65"
"Transatlantic","1985","Visitors to Ireland","Euro Million","156"
"Transatlantic","1985","Visits Abroad by Irish Residents","Euro Million","58"
"Transatlantic","1986","Visitors to Ireland","Euro Million","121"
"Transatlantic","1986","Visits Abroad by Irish Residents","Euro Million","79"
"Transatlantic","1987","Visitors to Ireland","Euro Million","128"
"Transatlantic","1987","Visits Abroad by Irish Residents","Euro Million","85"
"Transatlantic","1988","Visitors to Ireland","Euro Million","128"
"Transatlantic","1988","Visits Abroad by Irish Residents","Euro Million","100"
"Transatlantic","1989","Visitors to Ireland","Euro Million","141"
"Transatlantic","1989","Visits Abroad by Irish Residents","Euro Million","112"
"Transatlantic","1990","Visitors to Ireland","Euro Million","117"
"Transatlantic","1990","Visits Abroad by Irish Residents","Euro Million","123"
"Transatlantic","1991","Visitors to Ireland","Euro Million","109"
"Transatlantic","1991","Visits Abroad by Irish Residents","Euro Million","131"
"Transatlantic","1992","Visitors to Ireland","Euro Million","103"
"Transatlantic","1992","Visits Abroad by Irish Residents","Euro Million","147"
"Transatlantic","1993","Visitors to Ireland","Euro Million","132"
"Transatlantic","1993","Visits Abroad by Irish Residents","Euro Million","160"
"Transatlantic","1994","Visitors to Ireland","Euro Million","150"
"Transatlantic","1994","Visits Abroad by Irish Residents","Euro Million","190"
"Transatlantic","1995","Visitors to Ireland","Euro Million","178"
"Transatlantic","1995","Visits Abroad by Irish Residents","Euro Million","197"
"Transatlantic","1996","Visitors to Ireland","Euro Million","213"
"Transatlantic","1996","Visits Abroad by Irish Residents","Euro Million","207"
"Transatlantic","1997","Visitors to Ireland","Euro Million","212"
"Transatlantic","1997","Visits Abroad by Irish Residents","Euro Million","226"
"Transatlantic","1998","Visitors to Ireland","Euro Million","259"
"Transatlantic","1998","Visits Abroad by Irish Residents","Euro Million","265"
"Transatlantic","1999","Visitors to Ireland","Euro Million","314"
"Transatlantic","1999","Visits Abroad by Irish Residents","Euro Million","344"
"Transatlantic","2000","Visitors to Ireland","Euro Million","385"
"Transatlantic","2000","Visits Abroad by Irish Residents","Euro Million","402"
"Transatlantic","2001","Visitors to Ireland","Euro Million","445"
"Transatlantic","2001","Visits Abroad by Irish Residents","Euro Million","429"
"Transatlantic","2002","Visitors to Ireland","Euro Million","451"
"Transatlantic","2002","Visits Abroad by Irish Residents","Euro Million","395"
"Transatlantic","2003","Visitors to Ireland","Euro Million","555"
"Transatlantic","2003","Visits Abroad by Irish Residents","Euro Million","521"
"Transatlantic","2004","Visitors to Ireland","Euro Million","488"
"Transatlantic","2004","Visits Abroad by Irish Residents","Euro Million","551"
"Transatlantic","2005","Visitors to Ireland","Euro Million","513"
"Transatlantic","2005","Visits Abroad by Irish Residents","Euro Million","612"
"Transatlantic","2006","Visitors to Ireland","Euro Million","559"
"Transatlantic","2006","Visits Abroad by Irish Residents","Euro Million","686"
"Transatlantic","2007","Visitors to Ireland","Euro Million","568"
"Transatlantic","2007","Visits Abroad by Irish Residents","Euro Million","786"
"Transatlantic","2008","Visitors to Ireland","Euro Million","421"
"Transatlantic","2008","Visits Abroad by Irish Residents","Euro Million","926"
"Cross-Border","1976","Visitors to Ireland","Euro Million","43"
"Cross-Border","1976","Visits Abroad by Irish Residents","Euro Million","17"
"Cross-Border","1977","Visitors to Ireland","Euro Million","48"
"Cross-Border","1977","Visits Abroad by Irish Residents","Euro Million","19"
"Cross-Border","1978","Visitors to Ireland","Euro Million","55"
"Cross-Border","1978","Visits Abroad by Irish Residents","Euro Million","20"
"Cross-Border","1979","Visitors to Ireland","Euro Million","62"
"Cross-Border","1979","Visits Abroad by Irish Residents","Euro Million","23"
"Cross-Border","1980","Visitors to Ireland","Euro Million","69"
"Cross-Border","1980","Visits Abroad by Irish Residents","Euro Million","25"
"Cross-Border","1981","Visitors to Ireland","Euro Million","74"
"Cross-Border","1981","Visits Abroad by Irish Residents","Euro Million","28"
"Cross-Border","1982","Visitors to Ireland","Euro Million","74"
"Cross-Border","1982","Visits Abroad by Irish Residents","Euro Million","34"
"Cross-Border","1983","Visitors to Ireland","Euro Million","79"
"Cross-Border","1983","Visits Abroad by Irish Residents","Euro Million","44"
"Cross-Border","1984","Visitors to Ireland","Euro Million","88"
"Cross-Border","1984","Visits Abroad by Irish Residents","Euro Million","50"
"Cross-Border","1985","Visitors to Ireland","Euro Million","95"
"Cross-Border","1985","Visits Abroad by Irish Residents","Euro Million","55"
"Cross-Border","1986","Visitors to Ireland","Euro Million","95"
"Cross-Border","1986","Visits Abroad by Irish Residents","Euro Million","57"
"Cross-Border","1987","Visitors to Ireland","Euro Million","103"
"Cross-Border","1987","Visits Abroad by Irish Residents","Euro Million","55"
"Cross-Border","1988","Visitors to Ireland","Euro Million","113"
"Cross-Border","1988","Visits Abroad by Irish Residents","Euro Million","61"
"Cross-Border","1989","Visitors to Ireland","Euro Million","118"
"Cross-Border","1989","Visits Abroad by Irish Residents","Euro Million","63"
"Cross-Border","1990","Visitors to Ireland","Euro Million","124"
"Cross-Border","1990","Visits Abroad by Irish Residents","Euro Million","65"
"Cross-Border","1991","Visitors to Ireland","Euro Million","132"
"Cross-Border","1991","Visits Abroad by Irish Residents","Euro Million","71"
"Cross-Border","1992","Visitors to Ireland","Euro Million","137"
"Cross-Border","1992","Visits Abroad by Irish Residents","Euro Million","81"
"Cross-Border","1993","Visitors to Ireland","Euro Million","140"
"Cross-Border","1993","Visits Abroad by Irish Residents","Euro Million","81"
"Cross-Border","1994","Visitors to Ireland","Euro Million","165"
"Cross-Border","1994","Visits Abroad by Irish Residents","Euro Million","95"
"Cross-Border","1995","Visitors to Ireland","Euro Million","166"
"Cross-Border","1995","Visits Abroad by Irish Residents","Euro Million","105"
"Cross-Border","1996","Visitors to Ireland","Euro Million","169"
"Cross-Border","1996","Visits Abroad by Irish Residents","Euro Million","108"
"Cross-Border","1997","Visitors to Ireland","Euro Million","184"
"Cross-Border","1997","Visits Abroad by Irish Residents","Euro Million","104"
"Cross-Border","1998","Visitors to Ireland","Euro Million","187"
"Cross-Border","1998","Visits Abroad by Irish Residents","Euro Million","105"
"Cross-Border","1999","Visitors to Ireland","Euro Million","192"
"Cross-Border","1999","Visits Abroad by Irish Residents","Euro Million","108"
"Cross-Border","2000","Visitors to Ireland","Euro Million","207"
"Cross-Border","2000","Visits Abroad by Irish Residents","Euro Million","112"
"Cross-Border","2001","Visitors to Ireland","Euro Million","222"
"Cross-Border","2001","Visits Abroad by Irish Residents","Euro Million","121"
"Cross-Border","2002","Visitors to Ireland","Euro Million","221"
"Cross-Border","2002","Visits Abroad by Irish Residents","Euro Million","120"
"Cross-Border","2003","Visitors to Ireland","Euro Million","226"
"Cross-Border","2003","Visits Abroad by Irish Residents","Euro Million","127"
"Cross-Border","2004","Visitors to Ireland","Euro Million","228"
"Cross-Border","2004","Visits Abroad by Irish Residents","Euro Million","128"
