"Statistic Label","Quarter","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2023Q1","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Other countries (24)","Thousand","205"
"Number of Trips by Irish Residents","2023Q2","All Countries","Thousand","3699"
"Number of Trips by Irish Residents","2023Q2","United States and Canada","Thousand","223"
"Number of Trips by Irish Residents","2023Q2","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2023Q2","EU27 excluding Ireland","Thousand","2046"
"Number of Trips by Irish Residents","2023Q2","Other Europe (20)","Thousand","1358"
"Number of Trips by Irish Residents","2023Q2","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Other countries (24)","Thousand","72"
"Number of Trips by Irish Residents","2023Q3","All Countries","Thousand","3950"
"Number of Trips by Irish Residents","2023Q3","United States and Canada","Thousand","202"
"Number of Trips by Irish Residents","2023Q3","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2023Q3","EU27 excluding Ireland","Thousand","2143"
"Number of Trips by Irish Residents","2023Q3","Other Europe (20)","Thousand","1441"
"Number of Trips by Irish Residents","2023Q3","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Other countries (24)","Thousand","163"
"Number of Nights by Irish Residents","2012Q1","All Countries","Thousand","9491"
"Number of Nights by Irish Residents","2012Q1","United States and Canada","Thousand","857"
"Number of Nights by Irish Residents","2012Q1","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2012Q1","EU27 excluding Ireland","Thousand","6308"
"Number of Nights by Irish Residents","2012Q1","Other Europe (20)","Thousand","43"
"Number of Nights by Irish Residents","2012Q1","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2012Q1","Other countries (24)","Thousand","2283"
"Number of Nights by Irish Residents","2012Q2","All Countries","Thousand","12708"
"Number of Nights by Irish Residents","2012Q2","United States and Canada","Thousand","1190"
"Number of Nights by Irish Residents","2012Q2","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2012Q2","EU27 excluding Ireland","Thousand","9858"
"Number of Nights by Irish Residents","2012Q2","Other Europe (20)","Thousand","535"
"Number of Nights by Irish Residents","2012Q2","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2012Q2","Other countries (24)","Thousand","1125"
"Number of Nights by Irish Residents","2012Q3","All Countries","Thousand","21314"
"Number of Nights by Irish Residents","2012Q3","United States and Canada","Thousand","2429"
"Number of Nights by Irish Residents","2012Q3","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2012Q3","EU27 excluding Ireland","Thousand","16496"
"Number of Nights by Irish Residents","2012Q3","Other Europe (20)","Thousand","487"
"Number of Nights by Irish Residents","2012Q3","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2012Q3","Other countries (24)","Thousand","1902"
"Number of Nights by Irish Residents","2012Q4","All Countries","Thousand","9600"
"Number of Nights by Irish Residents","2012Q4","United States and Canada","Thousand","1362"
"Number of Nights by Irish Residents","2012Q4","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2012Q4","EU27 excluding Ireland","Thousand","6325"
"Number of Nights by Irish Residents","2012Q4","Other Europe (20)","Thousand","284"
"Number of Nights by Irish Residents","2012Q4","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2012Q4","Other countries (24)","Thousand","1629"
"Number of Nights by Irish Residents","2013Q1","All Countries","Thousand","9110"
"Number of Nights by Irish Residents","2013Q1","United States and Canada","Thousand","842"
"Number of Nights by Irish Residents","2013Q1","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2013Q1","EU27 excluding Ireland","Thousand","5763"
"Number of Nights by Irish Residents","2013Q1","Other Europe (20)","Thousand","220"
"Number of Nights by Irish Residents","2013Q1","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2013Q1","Other countries (24)","Thousand","2286"
"Number of Nights by Irish Residents","2013Q2","All Countries","Thousand","12936"
"Number of Nights by Irish Residents","2013Q2","United States and Canada","Thousand","1098"
