"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2017Q2","Spain","Thousand","594"
"Number of Trips by Irish Residents","2017Q2","France","Thousand","151"
"Number of Trips by Irish Residents","2017Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","618"
"Number of Trips by Irish Residents","2017Q2","Italy","Thousand","132"
"Number of Trips by Irish Residents","2017Q2","Portugal","Thousand","147"
"Number of Trips by Irish Residents","2017Q2","United States and Canada","Thousand","136"
"Number of Trips by Irish Residents","2017Q2","Great Britain","Thousand","502"
"Number of Trips by Irish Residents","2017Q2","Northern Ireland","Thousand","116"
"Number of Trips by Irish Residents","2017Q2","Asia (7)","Thousand","41"
"Number of Trips by Irish Residents","2017Q2","Other Europe (22)","Thousand","255"
"Number of Trips by Irish Residents","2017Q2","Other countries (26)","Thousand","33"
"Number of Trips by Irish Residents","2017Q3","All Countries","Thousand","2572"
"Number of Trips by Irish Residents","2017Q3","Germany","Thousand","61"
"Number of Trips by Irish Residents","2017Q3","Spain","Thousand","590"
"Number of Trips by Irish Residents","2017Q3","France","Thousand","249"
"Number of Trips by Irish Residents","2017Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","675"
"Number of Trips by Irish Residents","2017Q3","Italy","Thousand","156"
"Number of Trips by Irish Residents","2017Q3","Portugal","Thousand","259"
"Number of Trips by Irish Residents","2017Q3","United States and Canada","Thousand","168"
"Number of Trips by Irish Residents","2017Q3","Great Britain","Thousand","543"
"Number of Trips by Irish Residents","2017Q3","Northern Ireland","Thousand","131"
"Number of Trips by Irish Residents","2017Q3","Asia (7)","Thousand","76"
"Number of Trips by Irish Residents","2017Q3","Other Europe (22)","Thousand","313"
"Number of Trips by Irish Residents","2017Q3","Other countries (26)","Thousand","24"
"Number of Trips by Irish Residents","2017Q4","All Countries","Thousand","1830"
"Number of Trips by Irish Residents","2017Q4","Germany","Thousand","92"
"Number of Trips by Irish Residents","2017Q4","Spain","Thousand","308"
"Number of Trips by Irish Residents","2017Q4","France","Thousand","60"
"Number of Trips by Irish Residents","2017Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","679"
"Number of Trips by Irish Residents","2017Q4","Italy","Thousand","86"
"Number of Trips by Irish Residents","2017Q4","Portugal","Thousand","65"
"Number of Trips by Irish Residents","2017Q4","United States and Canada","Thousand","162"
"Number of Trips by Irish Residents","2017Q4","Great Britain","Thousand","549"
"Number of Trips by Irish Residents","2017Q4","Northern Ireland","Thousand","129"
"Number of Trips by Irish Residents","2017Q4","Asia (7)","Thousand","51"
"Number of Trips by Irish Residents","2017Q4","Other Europe (22)","Thousand","294"
"Number of Trips by Irish Residents","2017Q4","Other countries (26)","Thousand","32"
"Number of Trips by Irish Residents","2018Q1","All Countries","Thousand","1654"
"Number of Trips by Irish Residents","2018Q1","Germany","Thousand","79"
"Number of Trips by Irish Residents","2018Q1","Spain","Thousand","234"
"Number of Trips by Irish Residents","2018Q1","France","Thousand","116"
"Number of Trips by Irish Residents","2018Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","685"
"Number of Trips by Irish Residents","2018Q1","Italy","Thousand","60"
"Number of Trips by Irish Residents","2018Q1","Portugal","Thousand","36"
"Number of Trips by Irish Residents","2018Q1","United States and Canada","Thousand","91"
"Number of Trips by Irish Residents","2018Q1","Great Britain","Thousand","580"
"Number of Trips by Irish Residents","2018Q1","Northern Ireland","Thousand","105"
"Number of Trips by Irish Residents","2018Q1","Asia (7)","Thousand","59"
"Number of Trips by Irish Residents","2018Q1","Other Europe (22)","Thousand","237"
"Number of Trips by Irish Residents","2018Q1","Other countries (26)","Thousand","56"
"Number of Trips by Irish Residents","2018Q2","All Countries","Thousand","2283"
"Number of Trips by Irish Residents","2018Q2","Germany","Thousand","69"
"Number of Trips by Irish Residents","2018Q2","Spain","Thousand","699"
"Number of Trips by Irish Residents","2018Q2","France","Thousand","164"
"Number of Trips by Irish Residents","2018Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","565"
"Number of Trips by Irish Residents","2018Q2","Italy","Thousand","141"
"Number of Trips by Irish Residents","2018Q2","Portugal","Thousand","142"
"Number of Trips by Irish Residents","2018Q2","United States and Canada","Thousand","109"
"Number of Trips by Irish Residents","2018Q2","Great Britain","Thousand","477"
"Number of Trips by Irish Residents","2018Q2","Northern Ireland","Thousand","88"
"Number of Trips by Irish Residents","2018Q2","Asia (7)","Thousand","70"
"Number of Trips by Irish Residents","2018Q2","Other Europe (22)","Thousand","289"
"Number of Trips by Irish Residents","2018Q2","Other countries (26)","Thousand","35"
"Number of Trips by Irish Residents","2018Q3","All Countries","Thousand","2691"
"Number of Trips by Irish Residents","2018Q3","Germany","Thousand","92"
"Number of Trips by Irish Residents","2018Q3","Spain","Thousand","548"
"Number of Trips by Irish Residents","2018Q3","France","Thousand","265"
"Number of Trips by Irish Residents","2018Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","697"
"Number of Trips by Irish Residents","2018Q3","Italy","Thousand","172"
"Number of Trips by Irish Residents","2018Q3","Portugal","Thousand","178"
