"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","France","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","27"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Italy","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Portugal","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","United States and Canada","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Great Britain","Euro Million","23"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Northern Ireland","Euro Million","4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Other Europe (22)","Euro Million","32"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Other countries (26)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","All Countries","Euro Million","83"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Germany","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Spain","Euro Million","1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","France","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","37"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Italy","Euro Million","11"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Portugal","Euro Million","0"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","United States and Canada","Euro Million","11"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Great Britain","Euro Million","13"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Northern Ireland","Euro Million","24"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Other Europe (22)","Euro Million","23"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q2","Other countries (26)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","All Countries","Euro Million","863"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Germany","Euro Million","6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Spain","Euro Million","155"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","France","Euro Million","45"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","216"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Italy","Euro Million","15"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Portugal","Euro Million","42"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","United States and Canada","Euro Million","3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Great Britain","Euro Million","148"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Northern Ireland","Euro Million","68"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Other Europe (22)","Euro Million","332"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q3","Other countries (26)","Euro Million","48"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","All Countries","Euro Million","949"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Germany","Euro Million","25"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Spain","Euro Million","173"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","France","Euro Million","64"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","204"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Italy","Euro Million","24"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Portugal","Euro Million","66"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","United States and Canada","Euro Million","90"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Great Britain","Euro Million","169"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Northern Ireland","Euro Million","34"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Asia (7)","Euro Million","55"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Other Europe (22)","Euro Million","243"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q4","Other countries (26)","Euro Million","5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","All Countries","Euro Million","819"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Germany","Euro Million","31"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Spain","Euro Million","176"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","France","Euro Million","71"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","154"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Italy","Euro Million","30"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Portugal","Euro Million","22"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","United States and Canada","Euro Million","94"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Great Britain","Euro Million","113"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Northern Ireland","Euro Million","42"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Asia (7)","Euro Million","10"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Other Europe (22)","Euro Million","178"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q1","Other countries (26)","Euro Million","53"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","All Countries","Euro Million","2257"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Germany","Euro Million","31"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Spain","Euro Million","509"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","France","Euro Million","148"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","288"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Italy","Euro Million","154"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Portugal","Euro Million","116"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","United States and Canada","Euro Million","432"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Great Britain","Euro Million","238"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Northern Ireland","Euro Million","50"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Asia (7)","Euro Million","74"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Other Europe (22)","Euro Million","353"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q2","Other countries (26)","Euro Million","151"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","All Countries","Euro Million","3424"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Germany","Euro Million","64"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Spain","Euro Million","828"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","France","Euro Million","271"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","373"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Italy","Euro Million","350"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Portugal","Euro Million","321"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","United States and Canada","Euro Million","273"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Great Britain","Euro Million","310"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Northern Ireland","Euro Million","63"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Asia (7)","Euro Million","130"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Other Europe (22)","Euro Million","603"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q3","Other countries (26)","Euro Million","210"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","All Countries","Euro Million","2018"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Germany","Euro Million","59"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Spain","Euro Million","302"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","France","Euro Million","78"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","273"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Italy","Euro Million","74"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Portugal","Euro Million","103"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","United States and Canada","Euro Million","362"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Great Britain","Euro Million","216"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Northern Ireland","Euro Million","57"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Asia (7)","Euro Million","42"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Other Europe (22)","Euro Million","570"
"Estimated Expenditure by Irish Residents on Outbound Travel","2022Q4","Other countries (26)","Euro Million","156"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","All Countries","Euro Million","2230"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Germany","Euro Million","30"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Spain","Euro Million","452"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","France","Euro Million","261"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","289"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Italy","Euro Million","155"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Portugal","Euro Million","32"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","United States and Canada","Euro Million","122"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Great Britain","Euro Million","230"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Northern Ireland","Euro Million","59"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Asia (7)","Euro Million","274"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Other Europe (22)","Euro Million","294"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q1","Other countries (26)","Euro Million","320"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","All Countries","Euro Million","3660"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","Germany","Euro Million","72"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","Spain","Euro Million","669"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","France","Euro Million","290"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","524"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","Italy","Euro Million","195"
"Estimated Expenditure by Irish Residents on Outbound Travel","2023Q2","Portugal","Euro Million","270"
