"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"20 - 49 years","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","692"
"20 - 49 years","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","4259"
"20 - 49 years","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"20 - 49 years","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","811"
"20 - 49 years","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","6961"
"20 - 49 years","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.6"
"20 - 49 years","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","901"
"20 - 49 years","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","8707"
"20 - 49 years","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.7"
"20 - 49 years","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","701"
"20 - 49 years","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","3949"
"20 - 49 years","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"20 - 49 years","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","713"
"20 - 49 years","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","3990"
"20 - 49 years","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"20 - 49 years","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","813"
"20 - 49 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","5703"
"20 - 49 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","7"
"20 - 49 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","964"
"20 - 49 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","8812"
"20 - 49 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"20 - 49 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","720"
"20 - 49 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","4317"
"20 - 49 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6"
"20 - 49 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","634"
"20 - 49 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","3731"
"20 - 49 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"20 - 49 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","711"
"20 - 49 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","5662"
"20 - 49 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"20 - 49 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","900"
"20 - 49 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","8885"
"20 - 49 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.9"
"20 - 49 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","756"
"20 - 49 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","5754"
"20 - 49 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"20 - 49 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","725"
"20 - 49 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","4445"
"20 - 49 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"20 - 49 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","732"
"20 - 49 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","5910"
"20 - 49 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"20 - 49 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","925"
"20 - 49 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","9236"
"20 - 49 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","10"
"20 - 49 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","655"
"20 - 49 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","3679"
"20 - 49 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"20 - 49 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","568"
"20 - 49 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","3129"
"20 - 49 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"20 - 49 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","714"
"20 - 49 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","5933"
"20 - 49 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"20 - 49 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","864"
"20 - 49 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","7656"
"20 - 49 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"20 - 49 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","583"
"20 - 49 years","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand","3116"
"20 - 49 years","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"30 - 39 years","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand","216"
"30 - 39 years","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand","595"
"30 - 39 years","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"30 - 39 years","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand","213"
"30 - 39 years","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand","707"
"30 - 39 years","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"30 - 39 years","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand","326"
"30 - 39 years","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand","1426"
"30 - 39 years","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"30 - 39 years","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand","290"
"30 - 39 years","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand","755"
"30 - 39 years","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"30 - 39 years","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand","268"
"30 - 39 years","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand","625"
"30 - 39 years","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand","299"
"30 - 39 years","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand","833"
"30 - 39 years","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"30 - 39 years","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand","433"
"30 - 39 years","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand","1861"
"30 - 39 years","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"30 - 39 years","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand","325"
"30 - 39 years","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand","777"
"30 - 39 years","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"30 - 39 years","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand","302"
"30 - 39 years","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand","706"
"30 - 39 years","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand","331"
"30 - 39 years","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand","887"
"30 - 39 years","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"30 - 39 years","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand","428"
"30 - 39 years","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand","1623"
"30 - 39 years","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.8"
"30 - 39 years","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand","330"
"30 - 39 years","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand","747"
"30 - 39 years","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","326"
"30 - 39 years","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","755"
"30 - 39 years","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","333"
"30 - 39 years","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","837"
"30 - 39 years","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"30 - 39 years","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","372"
"30 - 39 years","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","1454"
"30 - 39 years","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"30 - 39 years","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","333"
"30 - 39 years","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","912"
"30 - 39 years","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"30 - 39 years","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","331"
"30 - 39 years","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","750"
"30 - 39 years","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","298"
"30 - 39 years","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","847"
"30 - 39 years","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"30 - 39 years","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","443"
"30 - 39 years","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","1623"
"30 - 39 years","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"30 - 39 years","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","328"
"30 - 39 years","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","767"
"30 - 39 years","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","320"
"30 - 39 years","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","755"
"30 - 39 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"30 - 39 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","342"
"30 - 39 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","907"
"30 - 39 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"30 - 39 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","376"
"30 - 39 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","1401"
"30 - 39 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"30 - 39 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","348"
"30 - 39 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","804"
"30 - 39 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"30 - 39 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","223"
