DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2020,86.53,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2021,85.67,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2022,84.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2023,85.39,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2012,1477.69,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2013,1404.49,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2014,1419.16,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2015,1452.77,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2016,1464.15,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2017,1442.18,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2018,1460.00,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2019,1428.46,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2020,1434.59,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2021,1424.32,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2022,1361.31,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FR,2023,1301.42,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2012,46.78,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2013,47.27,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2014,44.42,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2015,42.26,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2016,44.43,
