"Statistic Label","Month","Main Reason for Travel","UNIT","VALUE"
"Percentage of Nights by Foreign Visitors","2023 April","Other reason for journey","%","18.3"
"Percentage of Nights by Foreign Visitors","2023 April","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 May","Business","%","10.4"
"Percentage of Nights by Foreign Visitors","2023 May","Holiday/leisure/recreation","%","33.4"
"Percentage of Nights by Foreign Visitors","2023 May","Visit to friends/relatives","%","30"
"Percentage of Nights by Foreign Visitors","2023 May","Other reason for journey","%","26.3"
"Percentage of Nights by Foreign Visitors","2023 May","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 June","Business","%","9.6"
"Percentage of Nights by Foreign Visitors","2023 June","Holiday/leisure/recreation","%","43.1"
"Percentage of Nights by Foreign Visitors","2023 June","Visit to friends/relatives","%","35.2"
"Percentage of Nights by Foreign Visitors","2023 June","Other reason for journey","%","12.1"
"Percentage of Nights by Foreign Visitors","2023 June","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 July","Business","%","7"
"Percentage of Nights by Foreign Visitors","2023 July","Holiday/leisure/recreation","%","39.3"
"Percentage of Nights by Foreign Visitors","2023 July","Visit to friends/relatives","%","38.8"
"Percentage of Nights by Foreign Visitors","2023 July","Other reason for journey","%","15"
"Percentage of Nights by Foreign Visitors","2023 July","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 August","Business","%","11.1"
"Percentage of Nights by Foreign Visitors","2023 August","Holiday/leisure/recreation","%","40.7"
"Percentage of Nights by Foreign Visitors","2023 August","Visit to friends/relatives","%","36.6"
"Percentage of Nights by Foreign Visitors","2023 August","Other reason for journey","%","11.5"
"Percentage of Nights by Foreign Visitors","2023 August","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 September","Business","%","10.9"
"Percentage of Nights by Foreign Visitors","2023 September","Holiday/leisure/recreation","%","45.5"
"Percentage of Nights by Foreign Visitors","2023 September","Visit to friends/relatives","%","36.2"
"Percentage of Nights by Foreign Visitors","2023 September","Other reason for journey","%","7.4"
"Percentage of Nights by Foreign Visitors","2023 September","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 October","Business","%","13.3"
"Percentage of Nights by Foreign Visitors","2023 October","Holiday/leisure/recreation","%","44.6"
"Percentage of Nights by Foreign Visitors","2023 October","Visit to friends/relatives","%","34.1"
"Percentage of Nights by Foreign Visitors","2023 October","Other reason for journey","%","7.9"
"Percentage of Nights by Foreign Visitors","2023 October","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 November","Business","%","15"
"Percentage of Nights by Foreign Visitors","2023 November","Holiday/leisure/recreation","%","29.9"
"Percentage of Nights by Foreign Visitors","2023 November","Visit to friends/relatives","%","42.3"
"Percentage of Nights by Foreign Visitors","2023 November","Other reason for journey","%","12.8"
"Percentage of Nights by Foreign Visitors","2023 November","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2023 December","Business","%","15"
"Percentage of Nights by Foreign Visitors","2023 December","Holiday/leisure/recreation","%","16.1"
"Percentage of Nights by Foreign Visitors","2023 December","Visit to friends/relatives","%","26"
"Percentage of Nights by Foreign Visitors","2023 December","Other reason for journey","%","42.9"
"Percentage of Nights by Foreign Visitors","2023 December","All reasons for journey","%","100"
"Percentage of Nights by Foreign Visitors","2024 January","Business","%","7"
"Percentage of Nights by Foreign Visitors","2024 January","Holiday/leisure/recreation","%","23.9"
"Percentage of Nights by Foreign Visitors","2024 January","Visit to friends/relatives","%","57.8"
"Percentage of Nights by Foreign Visitors","2024 January","Other reason for journey","%","11.3"
"Percentage of Nights by Foreign Visitors","2024 January","All reasons for journey","%","100"
"Average Length of Stay of Foreign Visitors","2023 April","Business","Nights per trip","9.6"
"Average Length of Stay of Foreign Visitors","2023 April","Holiday/leisure/recreation","Nights per trip","5.8"
"Average Length of Stay of Foreign Visitors","2023 April","Visit to friends/relatives","Nights per trip","7.1"
"Average Length of Stay of Foreign Visitors","2023 April","Other reason for journey","Nights per trip","20.5"
"Average Length of Stay of Foreign Visitors","2023 April","All reasons for journey","Nights per trip","7.9"
"Average Length of Stay of Foreign Visitors","2023 May","Business","Nights per trip","6.3"
"Average Length of Stay of Foreign Visitors","2023 May","Holiday/leisure/recreation","Nights per trip","6.6"
"Average Length of Stay of Foreign Visitors","2023 May","Visit to friends/relatives","Nights per trip","6.5"
"Average Length of Stay of Foreign Visitors","2023 May","Other reason for journey","Nights per trip","17.8"
"Average Length of Stay of Foreign Visitors","2023 May","All reasons for journey","Nights per trip","7.8"
"Average Length of Stay of Foreign Visitors","2023 June","Business","Nights per trip","4.9"
"Average Length of Stay of Foreign Visitors","2023 June","Holiday/leisure/recreation","Nights per trip","7.4"
"Average Length of Stay of Foreign Visitors","2023 June","Visit to friends/relatives","Nights per trip","7.7"
"Average Length of Stay of Foreign Visitors","2023 June","Other reason for journey","Nights per trip","8.9"
"Average Length of Stay of Foreign Visitors","2023 June","All reasons for journey","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2023 July","Business","Nights per trip","5.5"
"Average Length of Stay of Foreign Visitors","2023 July","Holiday/leisure/recreation","Nights per trip","7.6"
"Average Length of Stay of Foreign Visitors","2023 July","Visit to friends/relatives","Nights per trip","9.6"
"Average Length of Stay of Foreign Visitors","2023 July","Other reason for journey","Nights per trip","14.4"
"Average Length of Stay of Foreign Visitors","2023 July","All reasons for journey","Nights per trip","8.7"
"Average Length of Stay of Foreign Visitors","2023 August","Business","Nights per trip","10"
"Average Length of Stay of Foreign Visitors","2023 August","Holiday/leisure/recreation","Nights per trip","8.6"
"Average Length of Stay of Foreign Visitors","2023 August","Visit to friends/relatives","Nights per trip","10.8"
"Average Length of Stay of Foreign Visitors","2023 August","Other reason for journey","Nights per trip","14.4"
"Average Length of Stay of Foreign Visitors","2023 August","All reasons for journey","Nights per trip","9.9"
"Average Length of Stay of Foreign Visitors","2023 September","Business","Nights per trip","5.2"
"Average Length of Stay of Foreign Visitors","2023 September","Holiday/leisure/recreation","Nights per trip","7.7"
"Average Length of Stay of Foreign Visitors","2023 September","Visit to friends/relatives","Nights per trip","9.1"
"Average Length of Stay of Foreign Visitors","2023 September","Other reason for journey","Nights per trip","13.8"
"Average Length of Stay of Foreign Visitors","2023 September","All reasons for journey","Nights per trip","8"
"Average Length of Stay of Foreign Visitors","2023 October","Business","Nights per trip","5.8"
"Average Length of Stay of Foreign Visitors","2023 October","Holiday/leisure/recreation","Nights per trip","6.6"
"Average Length of Stay of Foreign Visitors","2023 October","Visit to friends/relatives","Nights per trip","7.4"
"Average Length of Stay of Foreign Visitors","2023 October","Other reason for journey","Nights per trip","8.7"
"Average Length of Stay of Foreign Visitors","2023 October","All reasons for journey","Nights per trip","6.9"
"Average Length of Stay of Foreign Visitors","2023 November","Business","Nights per trip","5.5"
"Average Length of Stay of Foreign Visitors","2023 November","Holiday/leisure/recreation","Nights per trip","5.2"
"Average Length of Stay of Foreign Visitors","2023 November","Visit to friends/relatives","Nights per trip","8"
"Average Length of Stay of Foreign Visitors","2023 November","Other reason for journey","Nights per trip","17.6"
"Average Length of Stay of Foreign Visitors","2023 November","All reasons for journey","Nights per trip","6.9"
"Average Length of Stay of Foreign Visitors","2023 December","Business","Nights per trip","8.6"
"Average Length of Stay of Foreign Visitors","2023 December","Holiday/leisure/recreation","Nights per trip","5"
"Average Length of Stay of Foreign Visitors","2023 December","Visit to friends/relatives","Nights per trip","6.5"
"Average Length of Stay of Foreign Visitors","2023 December","Other reason for journey","Nights per trip","47.1"
"Average Length of Stay of Foreign Visitors","2023 December","All reasons for journey","Nights per trip","10.1"
"Average Length of Stay of Foreign Visitors","2024 January","Business","Nights per trip","4.6"
"Average Length of Stay of Foreign Visitors","2024 January","Holiday/leisure/recreation","Nights per trip","5.7"
"Average Length of Stay of Foreign Visitors","2024 January","Visit to friends/relatives","Nights per trip","10.4"
"Average Length of Stay of Foreign Visitors","2024 January","Other reason for journey","Nights per trip","19.5"
"Average Length of Stay of Foreign Visitors","2024 January","All reasons for journey","Nights per trip","8.4"
