"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Percentage of Nights by Foreign Visitors","2023 May","Friends/relatives/own property","%","38.1"
"Percentage of Nights by Foreign Visitors","2023 May","Self catering/rented house","%","8.1"
"Percentage of Nights by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","%","24.4"
"Percentage of Nights by Foreign Visitors","2023 May","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 June","Hotel/conference centre","%","33.1"
"Percentage of Nights by Foreign Visitors","2023 June","Guest house/bed & breakfast","%","5.2"
"Percentage of Nights by Foreign Visitors","2023 June","Friends/relatives/own property","%","42.9"
"Percentage of Nights by Foreign Visitors","2023 June","Self catering/rented house","%","7.3"
"Percentage of Nights by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","%","11.5"
"Percentage of Nights by Foreign Visitors","2023 June","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 July","Hotel/conference centre","%","25.8"
"Percentage of Nights by Foreign Visitors","2023 July","Guest house/bed & breakfast","%","3.9"
"Percentage of Nights by Foreign Visitors","2023 July","Friends/relatives/own property","%","47.2"
"Percentage of Nights by Foreign Visitors","2023 July","Self catering/rented house","%","8.4"
"Percentage of Nights by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","%","14.7"
"Percentage of Nights by Foreign Visitors","2023 July","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 August","Hotel/conference centre","%","23"
"Percentage of Nights by Foreign Visitors","2023 August","Guest house/bed & breakfast","%","6.4"
"Percentage of Nights by Foreign Visitors","2023 August","Friends/relatives/own property","%","51.3"
"Percentage of Nights by Foreign Visitors","2023 August","Self catering/rented house","%","6"
"Percentage of Nights by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","%","13.2"
"Percentage of Nights by Foreign Visitors","2023 August","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 September","Hotel/conference centre","%","31.7"
"Percentage of Nights by Foreign Visitors","2023 September","Guest house/bed & breakfast","%","8.1"
"Percentage of Nights by Foreign Visitors","2023 September","Friends/relatives/own property","%","45.2"
"Percentage of Nights by Foreign Visitors","2023 September","Self catering/rented house","%","7.2"
"Percentage of Nights by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","%","7.7"
"Percentage of Nights by Foreign Visitors","2023 September","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 October","Hotel/conference centre","%","32.8"
"Percentage of Nights by Foreign Visitors","2023 October","Guest house/bed & breakfast","%","5.1"
"Percentage of Nights by Foreign Visitors","2023 October","Friends/relatives/own property","%","44.3"
"Percentage of Nights by Foreign Visitors","2023 October","Self catering/rented house","%","7.9"
"Percentage of Nights by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","%","9.9"
"Percentage of Nights by Foreign Visitors","2023 October","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 November","Hotel/conference centre","%","26.6"
"Percentage of Nights by Foreign Visitors","2023 November","Guest house/bed & breakfast","%","2.9"
"Percentage of Nights by Foreign Visitors","2023 November","Friends/relatives/own property","%","49.7"
"Percentage of Nights by Foreign Visitors","2023 November","Self catering/rented house","%","7.9"
"Percentage of Nights by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","%","12.9"
"Percentage of Nights by Foreign Visitors","2023 November","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 December","Hotel/conference centre","%","15.9"
