"Statistic Label","Month","Residency","UNIT","VALUE"
"Average Length of Stay of Foreign Visitors","2023 November","Other Europe (3)","Nights per trip","7.2"
"Average Length of Stay of Foreign Visitors","2023 November","USA & Canada","Nights per trip","8.7"
"Average Length of Stay of Foreign Visitors","2023 November","Other Residencies","Nights per trip","19.9"
"Average Length of Stay of Foreign Visitors","2023 November","All Residencies","Nights per trip","6.9"
"Average Length of Stay of Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Nights per trip","5"
"Average Length of Stay of Foreign Visitors","2023 December","Other Europe (3)","Nights per trip","12.6"
"Average Length of Stay of Foreign Visitors","2023 December","USA & Canada","Nights per trip","13.4"
"Average Length of Stay of Foreign Visitors","2023 December","Other Residencies","Nights per trip","23.9"
"Average Length of Stay of Foreign Visitors","2023 December","All Residencies","Nights per trip","10.1"
"Average Length of Stay of Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Nights per trip","5.6"
"Average Length of Stay of Foreign Visitors","2024 January","Other Europe (3)","Nights per trip","8.6"
"Average Length of Stay of Foreign Visitors","2024 January","USA & Canada","Nights per trip","10.3"
"Average Length of Stay of Foreign Visitors","2024 January","Other Residencies","Nights per trip","21.4"
"Average Length of Stay of Foreign Visitors","2024 January","All Residencies","Nights per trip","8.4"
