"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2013Q2","Thousand","49.3"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2013Q3","Thousand","69.2"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2013Q4","Thousand","43"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2014Q1","Thousand","29.7"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2014Q2","Thousand","51.6"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2014Q3","Thousand","69.2"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2014Q4","Thousand","39.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2015Q1","Thousand","31.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2015Q2","Thousand","54.9"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2015Q3","Thousand","75.7"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2015Q4","Thousand","45.9"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2016Q1","Thousand","31.4"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2016Q2","Thousand","51.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2016Q3","Thousand","73.2"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2016Q4","Thousand","48.7"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2017Q1","Thousand","35"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2017Q2","Thousand","54.3"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2017Q3","Thousand","76.2"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2017Q4","Thousand","43"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2018Q1","Thousand","34.9"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2018Q2","Thousand","58.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2018Q3","Thousand","84.9"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2018Q4","Thousand","50.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2019Q1","Thousand","32.6"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2019Q2","Thousand","58.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2019Q3","Thousand","86.8"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2019Q4","Thousand","46.8"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2010Q1","Thousand","35.5"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2010Q2","Thousand","49.2"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2010Q3","Thousand","64.5"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2010Q4","Thousand","51.1"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2011Q1","Thousand","47.5"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2011Q2","Thousand","59.6"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2011Q3","Thousand","71.5"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2011Q4","Thousand","56.4"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2012Q1","Thousand","44.9"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2012Q2","Thousand","68.9"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2012Q3","Thousand","68.6"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2012Q4","Thousand","54.8"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2013Q1","Thousand","49.4"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2013Q2","Thousand","76.4"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2013Q3","Thousand","76.6"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2013Q4","Thousand","62.5"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2014Q1","Thousand","52.6"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2014Q2","Thousand","74.7"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2014Q3","Thousand","84.4"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2014Q4","Thousand","63"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2015Q1","Thousand","60.8"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2015Q2","Thousand","80.2"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2015Q3","Thousand","95.8"
