"Area of Residence","Month","Statistic Label","UNIT","VALUE"
"Great Britain","2016M07","Overseas Trips to Ireland","Thousand","359.9"
"Great Britain","2016M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","324.3"
"Great Britain","2016M08","Overseas Trips to Ireland","Thousand","448.7"
"Great Britain","2016M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","347.9"
"Great Britain","2016M09","Overseas Trips to Ireland","Thousand","339.9"
"Great Britain","2016M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","334.6"
"Great Britain","2016M10","Overseas Trips to Ireland","Thousand","321.5"
"Great Britain","2016M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","310.9"
"Great Britain","2016M11","Overseas Trips to Ireland","Thousand","285.5"
"Great Britain","2016M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317.6"
"Great Britain","2016M12","Overseas Trips to Ireland","Thousand","303.6"
"Great Britain","2016M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","318.4"
"Great Britain","2017M01","Overseas Trips to Ireland","Thousand","252.6"
"Great Britain","2017M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317.5"
"Great Britain","2017M02","Overseas Trips to Ireland","Thousand","232.9"
"Great Britain","2017M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","287.6"
"Great Britain","2017M03","Overseas Trips to Ireland","Thousand","310.5"
"Great Britain","2017M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","326.9"
"Great Britain","2017M04","Overseas Trips to Ireland","Thousand","312.4"
"Great Britain","2017M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","297.5"
"Great Britain","2017M05","Overseas Trips to Ireland","Thousand","327.5"
"Great Britain","2017M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","306.3"
"Great Britain","2017M06","Overseas Trips to Ireland","Thousand","309.3"
"Great Britain","2017M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","312.2"
"Great Britain","2017M07","Overseas Trips to Ireland","Thousand","341.8"
"Great Britain","2017M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","306.7"
"Great Britain","2017M08","Overseas Trips to Ireland","Thousand","396.1"
"Great Britain","2017M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","299.5"
"Great Britain","2017M09","Overseas Trips to Ireland","Thousand","327.3"
"Great Britain","2017M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","323.8"
"Great Britain","2017M10","Overseas Trips to Ireland","Thousand","322.5"
"Great Britain","2017M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","311.4"
"Great Britain","2017M11","Overseas Trips to Ireland","Thousand","297.5"
"Great Britain","2017M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","326.6"
"Great Britain","2017M12","Overseas Trips to Ireland","Thousand","298.5"
"Great Britain","2017M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","313.4"
"Great Britain","2018M01","Overseas Trips to Ireland","Thousand","241.5"
"Great Britain","2018M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","305.2"
"Great Britain","2018M02","Overseas Trips to Ireland","Thousand","263.5"
"Great Britain","2018M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","318.4"
"Great Britain","2018M03","Overseas Trips to Ireland","Thousand","293.3"
"Great Britain","2018M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","309.8"
"Great Britain","2018M04","Overseas Trips to Ireland","Thousand","322.7"
"Great Britain","2018M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","307.5"
"Great Britain","2018M05","Overseas Trips to Ireland","Thousand","349.9"
"Great Britain","2018M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","328.2"
"Great Britain","2018M06","Overseas Trips to Ireland","Thousand","315.3"
"Great Britain","2018M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317"
"Great Britain","2018M07","Overseas Trips to Ireland","Thousand","353.3"
"Great Britain","2018M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317.1"
"Great Britain","2018M08","Overseas Trips to Ireland","Thousand","405"
"Great Britain","2018M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","312.4"
"Great Britain","2018M09","Overseas Trips to Ireland","Thousand","297.6"
"Great Britain","2018M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","295.5"
"Great Britain","2018M10","Overseas Trips to Ireland","Thousand","322.7"
"Great Britain","2018M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","311.9"
"Great Britain","2018M11","Overseas Trips to Ireland","Thousand","299.9"
"Great Britain","2018M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","327.8"
"Great Britain","2018M12","Overseas Trips to Ireland","Thousand","294.4"
"Great Britain","2018M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","309.7"
"Great Britain","2019M01","Overseas Trips to Ireland","Thousand","266.7"
"Great Britain","2019M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","329.2"
"Great Britain","2019M02","Overseas Trips to Ireland","Thousand","258.1"
"Great Britain","2019M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","312.5"
"Great Britain","2019M03","Overseas Trips to Ireland","Thousand","284.3"
"Great Britain","2019M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","301.4"
"Great Britain","2019M04","Overseas Trips to Ireland","Thousand","339"
"Great Britain","2019M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","323.3"
"Great Britain","2019M05","Overseas Trips to Ireland","Thousand","334.5"
"Great Britain","2019M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","311.8"
"Great Britain","2019M06","Overseas Trips to Ireland","Thousand","311.7"
"Great Britain","2019M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","312.2"
"Great Britain","2019M07","Overseas Trips to Ireland","Thousand","355.5"
