"STATISTIC Label","Month","Direction","Route","UNIT","VALUE"
"Air and Sea Travel","2012 June","Departures","All routes of travel","Thousand","1385.7"
"Air and Sea Travel","2012 June","Departures","Cross channel","Thousand","560.3"
"Air and Sea Travel","2012 June","Departures","Continental Europe","Thousand","680.8"
"Air and Sea Travel","2012 June","Departures","Transatlantic","Thousand","106.7"
"Air and Sea Travel","2012 June","Departures","Other","Thousand","38"
"Air and Sea Travel","2012 July","Arrivals","All routes of travel","Thousand","1489"
"Air and Sea Travel","2012 July","Arrivals","Cross channel","Thousand","617"
"Air and Sea Travel","2012 July","Arrivals","Continental Europe","Thousand","726.7"
"Air and Sea Travel","2012 July","Arrivals","Transatlantic","Thousand","107.6"
"Air and Sea Travel","2012 July","Arrivals","Other","Thousand","37.7"
"Air and Sea Travel","2012 July","Departures","All routes of travel","Thousand","1456.3"
"Air and Sea Travel","2012 July","Departures","Cross channel","Thousand","584.5"
"Air and Sea Travel","2012 July","Departures","Continental Europe","Thousand","709.9"
"Air and Sea Travel","2012 July","Departures","Transatlantic","Thousand","121"
"Air and Sea Travel","2012 July","Departures","Other","Thousand","40.9"
"Air and Sea Travel","2012 August","Arrivals","All routes of travel","Thousand","1546.6"
"Air and Sea Travel","2012 August","Arrivals","Cross channel","Thousand","668.3"
"Air and Sea Travel","2012 August","Arrivals","Continental Europe","Thousand","721.2"
"Air and Sea Travel","2012 August","Arrivals","Transatlantic","Thousand","117"
"Air and Sea Travel","2012 August","Arrivals","Other","Thousand","40.1"
"Air and Sea Travel","2012 August","Departures","All routes of travel","Thousand","1471.9"
"Air and Sea Travel","2012 August","Departures","Cross channel","Thousand","639.7"
"Air and Sea Travel","2012 August","Departures","Continental Europe","Thousand","679.8"
"Air and Sea Travel","2012 August","Departures","Transatlantic","Thousand","115.6"
"Air and Sea Travel","2012 August","Departures","Other","Thousand","36.8"
"Air and Sea Travel","2012 September","Arrivals","All routes of travel","Thousand","1235.1"
"Air and Sea Travel","2012 September","Arrivals","Cross channel","Thousand","492.3"
"Air and Sea Travel","2012 September","Arrivals","Continental Europe","Thousand","599.3"
"Air and Sea Travel","2012 September","Arrivals","Transatlantic","Thousand","104.4"
"Air and Sea Travel","2012 September","Arrivals","Other","Thousand","39"
"Air and Sea Travel","2012 September","Departures","All routes of travel","Thousand","1245"
"Air and Sea Travel","2012 September","Departures","Cross channel","Thousand","525.5"
"Air and Sea Travel","2012 September","Departures","Continental Europe","Thousand","574.8"
"Air and Sea Travel","2012 September","Departures","Transatlantic","Thousand","108.7"
"Air and Sea Travel","2012 September","Departures","Other","Thousand","36"
"Air and Sea Travel","2012 October","Arrivals","All routes of travel","Thousand","1121.9"
"Air and Sea Travel","2012 October","Arrivals","Cross channel","Thousand","486.8"
"Air and Sea Travel","2012 October","Arrivals","Continental Europe","Thousand","534.5"
"Air and Sea Travel","2012 October","Arrivals","Transatlantic","Thousand","76.9"
"Air and Sea Travel","2012 October","Arrivals","Other","Thousand","23.7"
"Air and Sea Travel","2012 October","Departures","All routes of travel","Thousand","1126"
"Air and Sea Travel","2012 October","Departures","Cross channel","Thousand","496.4"
"Air and Sea Travel","2012 October","Departures","Continental Europe","Thousand","513.7"
"Air and Sea Travel","2012 October","Departures","Transatlantic","Thousand","87.5"
"Air and Sea Travel","2012 October","Departures","Other","Thousand","28.5"
"Air and Sea Travel","2012 November","Arrivals","All routes of travel","Thousand","868.8"
"Air and Sea Travel","2012 November","Arrivals","Cross channel","Thousand","429.9"
"Air and Sea Travel","2012 November","Arrivals","Continental Europe","Thousand","347.3"
"Air and Sea Travel","2012 November","Arrivals","Transatlantic","Thousand","67.7"
"Air and Sea Travel","2012 November","Arrivals","Other","Thousand","24"
"Air and Sea Travel","2012 November","Departures","All routes of travel","Thousand","865.3"
"Air and Sea Travel","2012 November","Departures","Cross channel","Thousand","444.5"
"Air and Sea Travel","2012 November","Departures","Continental Europe","Thousand","329.5"
"Air and Sea Travel","2012 November","Departures","Transatlantic","Thousand","68.5"
"Air and Sea Travel","2012 November","Departures","Other","Thousand","22.7"
"Air and Sea Travel","2012 December","Arrivals","All routes of travel","Thousand","883.1"
"Air and Sea Travel","2012 December","Arrivals","Cross channel","Thousand","471.5"
"Air and Sea Travel","2012 December","Arrivals","Continental Europe","Thousand","322"
"Air and Sea Travel","2012 December","Arrivals","Transatlantic","Thousand","64"
"Air and Sea Travel","2012 December","Arrivals","Other","Thousand","25.5"
"Air and Sea Travel","2012 December","Departures","All routes of travel","Thousand","847"
"Air and Sea Travel","2012 December","Departures","Cross channel","Thousand","407.1"
"Air and Sea Travel","2012 December","Departures","Continental Europe","Thousand","353"
"Air and Sea Travel","2012 December","Departures","Transatlantic","Thousand","60.3"
"Air and Sea Travel","2012 December","Departures","Other","Thousand","26.6"
"Air and Sea Travel","2013 January","Arrivals","All routes of travel","Thousand","725.5"
"Air and Sea Travel","2013 January","Arrivals","Cross channel","Thousand","326.5"
"Air and Sea Travel","2013 January","Arrivals","Continental Europe","Thousand","322.7"
"Air and Sea Travel","2013 January","Arrivals","Transatlantic","Thousand","49.5"
"Air and Sea Travel","2013 January","Arrivals","Other","Thousand","26.8"
"Air and Sea Travel","2013 January","Departures","All routes of travel","Thousand","770.4"
"Air and Sea Travel","2013 January","Departures","Cross channel","Thousand","392.4"
"Air and Sea Travel","2013 January","Departures","Continental Europe","Thousand","298.5"
"Air and Sea Travel","2013 January","Departures","Transatlantic","Thousand","51.1"
"Air and Sea Travel","2013 January","Departures","Other","Thousand","28.3"
"Air and Sea Travel","2013 February","Arrivals","All routes of travel","Thousand","753.5"
"Air and Sea Travel","2013 February","Arrivals","Cross channel","Thousand","387.8"
"Air and Sea Travel","2013 February","Arrivals","Continental Europe","Thousand","302.5"
"Air and Sea Travel","2013 February","Arrivals","Transatlantic","Thousand","41.6"
"Air and Sea Travel","2013 February","Arrivals","Other","Thousand","21.7"
