"STATISTIC Label","Year","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2014","Latvia","Arrivals","Thousand","57.1"
"Air and Sea Travel","2014","Latvia","Departures","Thousand","58.3"
"Air and Sea Travel","2014","Malta","Arrivals","Thousand","30"
"Air and Sea Travel","2014","Malta","Departures","Thousand","30.1"
"Air and Sea Travel","2014","Netherlands","Arrivals","Thousand","410.8"
"Air and Sea Travel","2014","Netherlands","Departures","Thousand","415.6"
"Air and Sea Travel","2014","Norway","Arrivals","Thousand","69.3"
"Air and Sea Travel","2014","Norway","Departures","Thousand","71.8"
"Air and Sea Travel","2014","Poland","Arrivals","Thousand","443.8"
"Air and Sea Travel","2014","Poland","Departures","Thousand","440.7"
"Air and Sea Travel","2014","Portugal","Arrivals","Thousand","379.7"
"Air and Sea Travel","2014","Portugal","Departures","Thousand","378"
"Air and Sea Travel","2014","Qatar","Arrivals","Thousand","0"
"Air and Sea Travel","2014","Qatar","Departures","Thousand","0"
"Air and Sea Travel","2014","Romania","Arrivals","Thousand","63.6"
"Air and Sea Travel","2014","Romania","Departures","Thousand","59.9"
"Air and Sea Travel","2014","Sweden","Arrivals","Thousand","52.5"
"Air and Sea Travel","2014","Sweden","Departures","Thousand","53.9"
"Air and Sea Travel","2014","Slovenia","Arrivals","Thousand","0"
"Air and Sea Travel","2014","Slovenia","Departures","Thousand","0"
"Air and Sea Travel","2014","Slovakia","Arrivals","Thousand","51"
"Air and Sea Travel","2014","Slovakia","Departures","Thousand","49.5"
"Air and Sea Travel","2014","Turkey","Arrivals","Thousand","111.6"
"Air and Sea Travel","2014","Turkey","Departures","Thousand","112.5"
"Air and Sea Travel","2014","United States","Arrivals","Thousand","1122.9"
"Air and Sea Travel","2014","United States","Departures","Thousand","1136.7"
"Air and Sea Travel","2014","Great Britain","Arrivals","Thousand","6392.7"
"Air and Sea Travel","2014","Great Britain","Departures","Thousand","6408.8"
"Air and Sea Travel","2014","Other Europe (33)","Arrivals","Thousand","8.9"
"Air and Sea Travel","2014","Other Europe (33)","Departures","Thousand","7.9"
"Air and Sea Travel","2014","Other Countries(43)","Arrivals","Thousand","25.9"
"Air and Sea Travel","2014","Other Countries(43)","Departures","Thousand","26.4"
"Air and Sea Travel","2014","Other transatlantic countries(2)","Arrivals","Thousand","0.2"
"Air and Sea Travel","2014","Other transatlantic countries(2)","Departures","Thousand","0.1"
"Air and Sea Travel","2015","All countries","Arrivals","Thousand","16100.3"
"Air and Sea Travel","2015","All countries","Departures","Thousand","16138.5"
"Air and Sea Travel","2015","United Arab Emirates","Arrivals","Thousand","359.2"
