"Method of Booking","Domestic or Outbound","Year","Statistic Label","UNIT","VALUE"
"Employer","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Employer","Outbound","2007","Number of Trips by Irish Residents","Thousand","231"
"Employer","Outbound","2007","Number of Nights by Irish Residents","Thousand","1180"
"Employer","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"Employer","Outbound","2008","Number of Trips by Irish Residents","Thousand","210"
"Employer","Outbound","2008","Number of Nights by Irish Residents","Thousand","1264"
"Employer","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","6"
"Employer","Outbound","2009","Number of Trips by Irish Residents","Thousand","183"
"Employer","Outbound","2009","Number of Nights by Irish Residents","Thousand","1024"
"Employer","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"Club","Domestic","2003","Number of Trips by Irish Residents","Thousand","217"
"Club","Domestic","2003","Number of Nights by Irish Residents","Thousand","665"
"Club","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Club","Domestic","2004","Number of Trips by Irish Residents","Thousand","192"
"Club","Domestic","2004","Number of Nights by Irish Residents","Thousand","643"
"Club","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"Club","Domestic","2005","Number of Trips by Irish Residents","Thousand","209"
"Club","Domestic","2005","Number of Nights by Irish Residents","Thousand","606"
"Club","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Club","Domestic","2006","Number of Trips by Irish Residents","Thousand","172"
"Club","Domestic","2006","Number of Nights by Irish Residents","Thousand","579"
"Club","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"Club","Domestic","2007","Number of Trips by Irish Residents","Thousand","248"
"Club","Domestic","2007","Number of Nights by Irish Residents","Thousand","736"
"Club","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Club","Domestic","2008","Number of Trips by Irish Residents","Thousand","214"
"Club","Domestic","2008","Number of Nights by Irish Residents","Thousand","644"
"Club","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Club","Domestic","2009","Number of Trips by Irish Residents","Thousand","168"
"Club","Domestic","2009","Number of Nights by Irish Residents","Thousand","447"
"Club","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Club","Outbound","2003","Number of Trips by Irish Residents","Thousand","114"
"Club","Outbound","2003","Number of Nights by Irish Residents","Thousand","668"
"Club","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Club","Outbound","2004","Number of Trips by Irish Residents","Thousand","132"
"Club","Outbound","2004","Number of Nights by Irish Residents","Thousand","822"
"Club","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Club","Outbound","2005","Number of Trips by Irish Residents","Thousand","131"
"Club","Outbound","2005","Number of Nights by Irish Residents","Thousand","835"
"Club","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Club","Outbound","2006","Number of Trips by Irish Residents","Thousand","129"
"Club","Outbound","2006","Number of Nights by Irish Residents","Thousand","813"
"Club","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Club","Outbound","2007","Number of Trips by Irish Residents","Thousand","151"
"Club","Outbound","2007","Number of Nights by Irish Residents","Thousand","798"
"Club","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Club","Outbound","2008","Number of Trips by Irish Residents","Thousand","165"
"Club","Outbound","2008","Number of Nights by Irish Residents","Thousand","959"
"Club","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Club","Outbound","2009","Number of Trips by Irish Residents","Thousand","124"
"Club","Outbound","2009","Number of Nights by Irish Residents","Thousand","776"
"Club","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Internet","Domestic","2003","Number of Trips by Irish Residents","Thousand",""
