"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Border, Midland and Western","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2967"
"Border, Midland and Western","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"Border, Midland and Western","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand","1072"
"Border, Midland and Western","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand","3035"
"Border, Midland and Western","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Border, Midland and Western","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand","1122"
"Border, Midland and Western","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand","3191"
"Border, Midland and Western","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Border, Midland and Western","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand","1219"
"Border, Midland and Western","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand","3321"
"Border, Midland and Western","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"Border, Midland and Western","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
