"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Border, Midland and Western","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1017"
"Border, Midland and Western","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","3421"
"Border, Midland and Western","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Border, Midland and Western","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1022"
