"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other reasons","Other Europe (21)","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other reasons","Other countries (24)","Nights per Trip","32.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","All Countries","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","United States and Canada","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","EU28 excluding Ireland","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","Other Europe (21)","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","Other countries (24)","Nights per Trip","16.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","All Countries","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","United States and Canada","Nights per Trip","13.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","EU28 excluding Ireland","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","Other Europe (21)","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Holiday","Other countries (24)","Nights per Trip","13.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","All Countries","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","United States and Canada","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","EU28 excluding Ireland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","Other Europe (21)","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Business","Other countries (24)","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","All Countries","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","United States and Canada","Nights per Trip","13.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","Other Europe (21)","Nights per Trip","16.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","Other countries (24)","Nights per Trip","21.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","All Countries","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","United States and Canada","Nights per Trip","27.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","EU28 excluding Ireland","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","Other Europe (21)","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other reasons","Other countries (24)","Nights per Trip","21.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","All Countries","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","United States and Canada","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","EU28 excluding Ireland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","Other Europe (21)","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","Other countries (24)","Nights per Trip","17.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","All Countries","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","United States and Canada","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","EU28 excluding Ireland","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","Other Europe (21)","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Holiday","Other countries (24)","Nights per Trip","17.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","All Countries","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","United States and Canada","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","EU28 excluding Ireland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","Other Europe (21)","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Business","Other countries (24)","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","United States and Canada","Nights per Trip","14"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","Other Europe (21)","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","Other countries (24)","Nights per Trip","26.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","All Countries","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","United States and Canada","Nights per Trip","41.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","EU28 excluding Ireland","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","Other Europe (21)","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other reasons","Other countries (24)","Nights per Trip","20.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","All Countries","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","United States and Canada","Nights per Trip","12.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","EU28 excluding Ireland","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","Other Europe (21)","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","Other countries (24)","Nights per Trip","16.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","All Countries","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","United States and Canada","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","EU28 excluding Ireland","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","Other Europe (21)","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Holiday","Other countries (24)","Nights per Trip","16"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","All Countries","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","United States and Canada","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","EU28 excluding Ireland","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","Other Europe (21)","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Business","Other countries (24)","Nights per Trip","14.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","All Countries","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","United States and Canada","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","Other Europe (21)","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","Other countries (24)","Nights per Trip","19.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","All Countries","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","United States and Canada","Nights per Trip","29.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","EU28 excluding Ireland","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","Other Europe (21)","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other reasons","Other countries (24)","Nights per Trip","19.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","United States and Canada","Nights per Trip","12.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","EU28 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","Other Europe (21)","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","Other countries (24)","Nights per Trip","16.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","All Countries","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","United States and Canada","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","EU28 excluding Ireland","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","Other Europe (21)","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Holiday","Other countries (24)","Nights per Trip","14.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","All Countries","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","United States and Canada","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","EU28 excluding Ireland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","Other Europe (21)","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Business","Other countries (24)","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","All Countries","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","United States and Canada","Nights per Trip","11.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","Other Europe (21)","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Visiting friends/relatives","Other countries (24)","Nights per Trip","20.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","All Countries","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","United States and Canada","Nights per Trip","32.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","EU28 excluding Ireland","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","Other Europe (21)","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other reasons","Other countries (24)","Nights per Trip","24.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","United States and Canada","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","EU28 excluding Ireland","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","Other Europe (21)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All reasons for journey","Other countries (24)","Nights per Trip","18.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","All Countries","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","United States and Canada","Nights per Trip","12.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","EU28 excluding Ireland","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","Other Europe (21)","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Holiday","Other countries (24)","Nights per Trip","16.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","All Countries","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","United States and Canada","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","EU28 excluding Ireland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","Other Europe (21)","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Business","Other countries (24)","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","All Countries","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","United States and Canada","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","Other Europe (21)","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Visiting friends/relatives","Other countries (24)","Nights per Trip","20.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","All Countries","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","United States and Canada","Nights per Trip","21.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","EU28 excluding Ireland","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","Other Europe (21)","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other reasons","Other countries (24)","Nights per Trip","35.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","United States and Canada","Nights per Trip","13.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","EU28 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","Other Europe (21)","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All reasons for journey","Other countries (24)","Nights per Trip","15.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","All Countries","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","United States and Canada","Nights per Trip","13.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","EU28 excluding Ireland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","Other Europe (21)","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Holiday","Other countries (24)","Nights per Trip","14.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","All Countries","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","United States and Canada","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","EU28 excluding Ireland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","Other Europe (21)","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Business","Other countries (24)","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","All Countries","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","United States and Canada","Nights per Trip","12.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","Other Europe (21)","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Visiting friends/relatives","Other countries (24)","Nights per Trip","18.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","All Countries","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","United States and Canada","Nights per Trip","45.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","EU28 excluding Ireland","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","Other Europe (21)","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other reasons","Other countries (24)","Nights per Trip","19.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","Other countries (24)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","All Countries","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Holiday","Other countries (24)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","All Countries","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Business","Other countries (24)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","All Countries","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","Other Europe (21)","Nights per Trip",""
