"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2019","Outbound","Eastern and Midland","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2019","Outbound","Dublin","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2019","Outbound","Mid-East","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2019","Outbound","Midland","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2020","Domestic","State","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Domestic","Northern and Western","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2020","Domestic","Border","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2020","Domestic","West","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Domestic","Southern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2020","Domestic","Mid-West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2020","Domestic","South-East","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2020","Domestic","South-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2020","Domestic","Eastern and Midland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2020","Domestic","Dublin","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2020","Domestic","Mid-East","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2020","Domestic","Midland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2020","Outbound","State","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2020","Outbound","Northern and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Southern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Eastern and Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","State","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Domestic","Northern and Western","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021","Domestic","Border","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2021","Domestic","West","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021","Domestic","Southern","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021","Domestic","Mid-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2021","Domestic","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021","Domestic","South-West","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021","Domestic","Eastern and Midland","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2021","Domestic","Dublin","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2021","Domestic","Mid-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2021","Domestic","Midland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2021","Outbound","State","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2021","Outbound","Northern and Western","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2021","Outbound","Border","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2021","Outbound","West","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2021","Outbound","Southern","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2021","Outbound","Mid-West","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2021","Outbound","South-East","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2021","Outbound","South-West","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2021","Outbound","Eastern and Midland","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2021","Outbound","Dublin","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2021","Outbound","Mid-East","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2021","Outbound","Midland","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2022","Domestic","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Domestic","Northern and Western","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2022","Domestic","Border","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2022","Domestic","West","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Domestic","Southern","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2022","Domestic","Mid-West","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2022","Domestic","South-East","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2022","Domestic","South-West","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2022","Domestic","Eastern and Midland","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2022","Domestic","Dublin","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2022","Domestic","Mid-East","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2022","Domestic","Midland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2022","Outbound","State","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2022","Outbound","Northern and Western","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2022","Outbound","Border","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2022","Outbound","West","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2022","Outbound","Southern","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2022","Outbound","Mid-West","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2022","Outbound","South-East","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2022","Outbound","South-West","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2022","Outbound","Eastern and Midland","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2022","Outbound","Dublin","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2022","Outbound","Mid-East","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2022","Outbound","Midland","Nights per Trip","6.4"
