"Statistic Label","Year","Sex","Domestic","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2008","Both sexes","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","Both sexes","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2008","Male","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","Male","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2008","Female","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2008","Female","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2009","Both sexes","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Both sexes","Outbound","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Male","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Male","Outbound","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2009","Female","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Female","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2010","Both sexes","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Both sexes","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2010","Male","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Male","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2010","Female","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Female","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2011","Both sexes","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Both sexes","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2011","Male","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Male","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2011","Female","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Female","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2012","Both sexes","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2012","Both sexes","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2012","Male","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2012","Male","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2012","Female","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2012","Female","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2013","Both sexes","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Both sexes","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013","Male","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2013","Male","Outbound","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2013","Female","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Female","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2014","Both sexes","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Both sexes","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Male","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Male","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2014","Female","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Female","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2015","Both sexes","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2015","Both sexes","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2015","Male","Domestic","Nights per Trip","2.8"
