"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2014","Domestic","State","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Domestic","Border, Midland and Western","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2014","Domestic","Border","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2014","Domestic","Midland","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2014","Domestic","West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2014","Domestic","Southern and Eastern","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2014","Domestic","Dublin","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2014","Domestic","Mid-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Domestic","Mid-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2014","Domestic","South-East","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2014","Domestic","South-West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2014","Outbound","State","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Outbound","Border, Midland and Western","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2014","Outbound","Border","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2014","Outbound","Midland","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2014","Outbound","West","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2014","Outbound","Southern and Eastern","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Outbound","Dublin","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2014","Outbound","Mid-East","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2014","Outbound","Mid-West","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2014","Outbound","South-East","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2014","Outbound","South-West","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2015","Domestic","State","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2015","Domestic","Border, Midland and Western","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2015","Domestic","Border","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2015","Domestic","Midland","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2015","Domestic","West","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2015","Domestic","Southern and Eastern","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2015","Domestic","Dublin","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2015","Domestic","Mid-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2015","Domestic","Mid-West","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2015","Domestic","South-East","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2015","Domestic","South-West","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2015","Outbound","State","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2015","Outbound","Border, Midland and Western","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2015","Outbound","Border","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2015","Outbound","Midland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2015","Outbound","West","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2015","Outbound","Southern and Eastern","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2015","Outbound","Dublin","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2015","Outbound","Mid-East","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2015","Outbound","Mid-West","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2015","Outbound","South-East","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2015","Outbound","South-West","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2016","Domestic","State","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Domestic","Border, Midland and Western","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2016","Domestic","Border","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Domestic","Midland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2016","Domestic","West","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2016","Domestic","Southern and Eastern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2016","Domestic","Dublin","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2016","Domestic","Mid-East","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2016","Domestic","Mid-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2016","Domestic","South-East","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2016","Domestic","South-West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2016","Outbound","State","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2016","Outbound","Border, Midland and Western","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2016","Outbound","Border","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2016","Outbound","Midland","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2016","Outbound","West","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2016","Outbound","Southern and Eastern","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2016","Outbound","Dublin","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2016","Outbound","Mid-East","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2016","Outbound","Mid-West","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2016","Outbound","South-East","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2016","Outbound","South-West","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2017","Domestic","State","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","Domestic","Border, Midland and Western","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017","Domestic","Border","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2017","Domestic","Midland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017","Domestic","West","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017","Domestic","Southern and Eastern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2017","Domestic","Dublin","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2017","Domestic","Mid-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2017","Domestic","Mid-West","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017","Domestic","South-East","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2017","Domestic","South-West","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017","Outbound","State","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2017","Outbound","Border, Midland and Western","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2017","Outbound","Border","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2017","Outbound","Midland","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2017","Outbound","West","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2017","Outbound","Southern and Eastern","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2017","Outbound","Dublin","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2017","Outbound","Mid-East","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2017","Outbound","Mid-West","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2017","Outbound","South-East","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2017","Outbound","South-West","Nights per Trip","7.3"
