"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2013","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","0 - 19 years","Domestic","Thousand","2282"
"Number of Trips by Irish Residents","2013","0 - 19 years","Outbound","Thousand","1314"
"Number of Trips by Irish Residents","2013","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","20 - 49 years","Domestic","Thousand","3814"
"Number of Trips by Irish Residents","2013","20 - 49 years","Outbound","Thousand","3244"
"Number of Trips by Irish Residents","2013","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","50 years and over","Domestic","Thousand","2317"
"Number of Trips by Irish Residents","2013","50 years and over","Outbound","Thousand","2017"
"Number of Trips by Irish Residents","2013","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","All ages","Domestic","Thousand","8413"
"Number of Trips by Irish Residents","2013","All ages","Outbound","Thousand","6575"
"Number of Trips by Irish Residents","2014","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","0 - 19 years","Domestic","Thousand","2464"
"Number of Trips by Irish Residents","2014","0 - 19 years","Outbound","Thousand","1387"
"Number of Trips by Irish Residents","2014","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","20 - 49 years","Domestic","Thousand","4076"
"Number of Trips by Irish Residents","2014","20 - 49 years","Outbound","Thousand","3162"
"Number of Trips by Irish Residents","2014","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","50 years and over","Domestic","Thousand","2451"
"Number of Trips by Irish Residents","2014","50 years and over","Outbound","Thousand","2129"
"Number of Trips by Irish Residents","2014","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","60 - 69 years","Outbound","Thousand",""
