"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20143","2014Q3","Thousand","2460"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20144","2014Q4","Thousand","2312"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20151","2015Q1","Thousand","2091"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20152","2015Q2","Thousand","3061"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20153","2015Q3","Thousand","2881"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20154","2015Q4","Thousand","2743"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20161","2016Q1","Thousand","2301"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20162","2016Q2","Thousand","2926"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20163","2016Q3","Thousand","3171"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20164","2016Q4","Thousand","2664"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20171","2017Q1","Thousand","1942"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20172","2017Q2","Thousand","2817"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20173","2017Q3","Thousand","2741"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20174","2017Q4","Thousand","3601"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20181","2018Q1","Thousand","2568"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20182","2018Q2","Thousand","2890"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20183","2018Q3","Thousand","2409"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20184","2018Q4","Thousand","2593"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20191","2019Q1","Thousand","1861"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20192","2019Q2","Thousand","3418"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20193","2019Q3","Thousand","1919"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20194","2019Q4","Thousand","3520"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20121","2012Q1","Thousand","1781"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20122","2012Q2","Thousand","4175"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20123","2012Q3","Thousand","5195"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20124","2012Q4","Thousand","3029"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20131","2013Q1","Thousand","1906"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20132","2013Q2","Thousand","4489"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20133","2013Q3","Thousand","5126"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20134","2013Q4","Thousand","2751"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20141","2014Q1","Thousand","2071"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20142","2014Q2","Thousand","4141"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20143","2014Q3","Thousand","5497"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20144","2014Q4","Thousand","2998"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20151","2015Q1","Thousand","2354"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20152","2015Q2","Thousand","4997"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20153","2015Q3","Thousand","6522"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20154","2015Q4","Thousand","3501"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20161","2016Q1","Thousand","2708"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20162","2016Q2","Thousand","5391"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20163","2016Q3","Thousand","6452"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20164","2016Q4","Thousand","3971"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20171","2017Q1","Thousand","2700"
