"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","1","Holiday/leisure/recreation","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"-","All Countries","1","Holiday/leisure/recreation","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","582"
"-","All Countries","1","Holiday/leisure/recreation","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"-","All Countries","1","Holiday/leisure/recreation","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"-","All Countries","1","Holiday/leisure/recreation","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"-","All Countries","1","Holiday/leisure/recreation","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","985"
"-","All Countries","1","Holiday/leisure/recreation","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","1","Holiday/leisure/recreation","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1252"
"-","All Countries","1","Holiday/leisure/recreation","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"-","All Countries","1","Holiday/leisure/recreation","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","487"
"-","All Countries","1","Holiday/leisure/recreation","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"-","All Countries","2","Visit to friends/relatives","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"-","All Countries","2","Visit to friends/relatives","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All Countries","2","Visit to friends/relatives","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"-","All Countries","2","Visit to friends/relatives","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"-","All Countries","2","Visit to friends/relatives","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","164"
"-","All Countries","2","Visit to friends/relatives","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","2","Visit to friends/relatives","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"-","All Countries","2","Visit to friends/relatives","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","2","Visit to friends/relatives","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"-","All Countries","2","Visit to friends/relatives","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All Countries","2","Visit to friends/relatives","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","139"
"-","All Countries","2","Visit to friends/relatives","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"-","All Countries","2","Visit to friends/relatives","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","232"
"-","All Countries","2","Visit to friends/relatives","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All Countries","2","Visit to friends/relatives","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"-","All Countries","2","Visit to friends/relatives","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"-","All Countries","2","Visit to friends/relatives","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"-","All Countries","2","Visit to friends/relatives","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"-","All Countries","2","Visit to friends/relatives","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","195"
"-","All Countries","2","Visit to friends/relatives","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"-","All Countries","2","Visit to friends/relatives","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","251"
"-","All Countries","2","Visit to friends/relatives","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","2","Visit to friends/relatives","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","169"
"-","All Countries","2","Visit to friends/relatives","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"-","All Countries","2","Visit to friends/relatives","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"-","All Countries","2","Visit to friends/relatives","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"-","All Countries","2","Visit to friends/relatives","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"-","All Countries","2","Visit to friends/relatives","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"-","All Countries","2","Visit to friends/relatives","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","256"
"-","All Countries","2","Visit to friends/relatives","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All Countries","2","Visit to friends/relatives","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"-","All Countries","2","Visit to friends/relatives","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","2","Visit to friends/relatives","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"-","All Countries","2","Visit to friends/relatives","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All Countries","2","Visit to friends/relatives","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","199"
"-","All Countries","2","Visit to friends/relatives","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"-","All Countries","2","Visit to friends/relatives","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","270"
"-","All Countries","2","Visit to friends/relatives","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","2","Visit to friends/relatives","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"-","All Countries","2","Visit to friends/relatives","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","2","Visit to friends/relatives","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"-","All Countries","2","Visit to friends/relatives","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"-","All Countries","2","Visit to friends/relatives","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"-","All Countries","2","Visit to friends/relatives","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"-","All Countries","2","Visit to friends/relatives","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"-","All Countries","2","Visit to friends/relatives","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All Countries","2","Visit to friends/relatives","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"-","All Countries","2","Visit to friends/relatives","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"-","All Countries","2","Visit to friends/relatives","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"-","All Countries","2","Visit to friends/relatives","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All Countries","2","Visit to friends/relatives","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","240"
"-","All Countries","2","Visit to friends/relatives","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"-","All Countries","2","Visit to friends/relatives","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
