"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 May","Spain","Departures","Thousand","138.6"
"Air and Sea Travel","2010 May","France","Arrivals","Thousand","87.5"
"Air and Sea Travel","2010 May","France","Departures","Thousand","92.9"
"Air and Sea Travel","2010 May","Italy","Arrivals","Thousand","38.9"
"Air and Sea Travel","2010 May","Italy","Departures","Thousand","42.1"
"Air and Sea Travel","2010 May","Netherlands","Arrivals","Thousand","27.7"
"Air and Sea Travel","2010 May","Netherlands","Departures","Thousand","28.8"
"Air and Sea Travel","2010 May","Poland","Arrivals","Thousand","41.8"
"Air and Sea Travel","2010 May","Poland","Departures","Thousand","43"
"Air and Sea Travel","2010 May","Portugal","Arrivals","Thousand","30.9"
"Air and Sea Travel","2010 May","Portugal","Departures","Thousand","34.4"
"Air and Sea Travel","2010 May","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","62.7"
"Air and Sea Travel","2010 May","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","68.9"
"Air and Sea Travel","2010 May","Switzerland","Arrivals","Thousand","10.1"
"Air and Sea Travel","2010 May","Switzerland","Departures","Thousand","10.1"
"Air and Sea Travel","2010 May","Other Europe (34)","Arrivals","Thousand","5.3"
"Air and Sea Travel","2010 May","Other Europe (34)","Departures","Thousand","5.9"
"Air and Sea Travel","2010 May","United States","Arrivals","Thousand","79"
"Air and Sea Travel","2010 May","United States","Departures","Thousand","73.7"
"Air and Sea Travel","2010 May","Other Transatlantic Countries(1)","Arrivals","Thousand","4.2"
"Air and Sea Travel","2010 May","Other Transatlantic Countries(1)","Departures","Thousand","3.7"
"Air and Sea Travel","2010 May","United Arab Emirates","Arrivals","Thousand","8.3"
"Air and Sea Travel","2010 May","United Arab Emirates","Departures","Thousand","6.9"
"Air and Sea Travel","2010 May","Other Countries(42)","Arrivals","Thousand","12.3"
"Air and Sea Travel","2010 May","Other Countries(42)","Departures","Thousand","14.6"
"Air and Sea Travel","2010 May","All countries","Arrivals","Thousand","1114.9"
"Air and Sea Travel","2010 May","All countries","Departures","Thousand","1110.8"
"Air and Sea Travel","2010 June","Great Britain","Arrivals","Thousand","514.3"
"Air and Sea Travel","2010 June","Great Britain","Departures","Thousand","579.3"
"Air and Sea Travel","2010 June","Other UK (1)","Arrivals","Thousand","3.1"
"Air and Sea Travel","2010 June","Other UK (1)","Departures","Thousand","3.4"
