"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2013","2013","Thousand","6196"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2014","2014","Thousand","6417"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2015","2015","Thousand","6145"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2016","2016","Thousand","6674"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2017","2017","Thousand","6617"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2018","2018","Thousand","6396"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2019","2019","Thousand","6338"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2009","2009","Thousand","5665"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2010","2010","Thousand","4472"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2011","2011","Thousand","4269"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2012","2012","Thousand","4360"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2013","2013","Thousand","4450"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2014","2014","Thousand","5404"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2015","2015","Thousand","5290"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2016","2016","Thousand","5886"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2017","2017","Thousand","5136"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2018","2018","Thousand","5614"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","02","Other Europe","2019","2019","Thousand","5596"
