"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","Holiday/leisure/recreation","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"All Countries","Holiday/leisure/recreation","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"All Countries","Holiday/leisure/recreation","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"All Countries","Holiday/leisure/recreation","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","219"
"All Countries","Holiday/leisure/recreation","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","Holiday/leisure/recreation","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","717"
"All Countries","Holiday/leisure/recreation","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"All Countries","Holiday/leisure/recreation","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1002"
"All Countries","Holiday/leisure/recreation","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"All Countries","Holiday/leisure/recreation","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","392"
"All Countries","Holiday/leisure/recreation","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"All Countries","Holiday/leisure/recreation","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","282"
"All Countries","Holiday/leisure/recreation","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","Holiday/leisure/recreation","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","738"
"All Countries","Holiday/leisure/recreation","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"All Countries","Holiday/leisure/recreation","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1073"
"All Countries","Holiday/leisure/recreation","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"All Countries","Holiday/leisure/recreation","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","455"
"All Countries","Holiday/leisure/recreation","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"All Countries","Holiday/leisure/recreation","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","283"
"All Countries","Holiday/leisure/recreation","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","Holiday/leisure/recreation","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","861"
"All Countries","Holiday/leisure/recreation","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"All Countries","Holiday/leisure/recreation","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1106"
"All Countries","Holiday/leisure/recreation","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"All Countries","Holiday/leisure/recreation","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","507"
"All Countries","Holiday/leisure/recreation","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"All Countries","Holiday/leisure/recreation","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"All Countries","Holiday/leisure/recreation","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"All Countries","Holiday/leisure/recreation","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","925"
"All Countries","Holiday/leisure/recreation","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"All Countries","Holiday/leisure/recreation","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1249"
"All Countries","Holiday/leisure/recreation","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"All Countries","Holiday/leisure/recreation","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","582"
"All Countries","Holiday/leisure/recreation","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"All Countries","Holiday/leisure/recreation","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"All Countries","Holiday/leisure/recreation","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"All Countries","Holiday/leisure/recreation","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","985"
"All Countries","Holiday/leisure/recreation","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","Holiday/leisure/recreation","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1252"
"All Countries","Holiday/leisure/recreation","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"All Countries","Holiday/leisure/recreation","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","487"
"All Countries","Holiday/leisure/recreation","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"All Countries","Visit to friends/relatives","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"All Countries","Visit to friends/relatives","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All Countries","Visit to friends/relatives","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"All Countries","Visit to friends/relatives","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"All Countries","Visit to friends/relatives","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","164"
"All Countries","Visit to friends/relatives","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All Countries","Visit to friends/relatives","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"All Countries","Visit to friends/relatives","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","Visit to friends/relatives","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"All Countries","Visit to friends/relatives","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All Countries","Visit to friends/relatives","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","139"
"All Countries","Visit to friends/relatives","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"All Countries","Visit to friends/relatives","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","232"
"All Countries","Visit to friends/relatives","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","Visit to friends/relatives","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"All Countries","Visit to friends/relatives","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"All Countries","Visit to friends/relatives","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"All Countries","Visit to friends/relatives","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All Countries","Visit to friends/relatives","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","195"
"All Countries","Visit to friends/relatives","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"All Countries","Visit to friends/relatives","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","251"
"All Countries","Visit to friends/relatives","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All Countries","Visit to friends/relatives","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","169"
"All Countries","Visit to friends/relatives","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All Countries","Visit to friends/relatives","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"All Countries","Visit to friends/relatives","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"All Countries","Visit to friends/relatives","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"All Countries","Visit to friends/relatives","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
