"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","Visit to friends/relatives","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","256"
"All Countries","Visit to friends/relatives","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All Countries","Visit to friends/relatives","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"All Countries","Visit to friends/relatives","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","Visit to friends/relatives","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"All Countries","Visit to friends/relatives","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All Countries","Visit to friends/relatives","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","199"
"All Countries","Visit to friends/relatives","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"All Countries","Visit to friends/relatives","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","270"
"All Countries","Visit to friends/relatives","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All Countries","Visit to friends/relatives","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"All Countries","Visit to friends/relatives","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","Visit to friends/relatives","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"All Countries","Visit to friends/relatives","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"All Countries","Visit to friends/relatives","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"All Countries","Visit to friends/relatives","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"All Countries","Visit to friends/relatives","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"All Countries","Visit to friends/relatives","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","Visit to friends/relatives","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"All Countries","Visit to friends/relatives","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All Countries","Visit to friends/relatives","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"All Countries","Visit to friends/relatives","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","Visit to friends/relatives","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","240"
"All Countries","Visit to friends/relatives","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"All Countries","Visit to friends/relatives","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"All Countries","Visit to friends/relatives","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All Countries","Visit to friends/relatives","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"All Countries","Visit to friends/relatives","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"All Countries","Visit to friends/relatives","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"All Countries","Visit to friends/relatives","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"All Countries","Visit to friends/relatives","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"All Countries","Visit to friends/relatives","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"All Countries","Visit to friends/relatives","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"All Countries","Visit to friends/relatives","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"All Countries","Visit to friends/relatives","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"All Countries","Visit to friends/relatives","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"All Countries","Business","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"All Countries","Business","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"All Countries","Business","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"All Countries","Business","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"All Countries","Business","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"All Countries","Business","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All Countries","Business","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"All Countries","Business","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"All Countries","Business","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","152"
"All Countries","Business","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"All Countries","Business","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"All Countries","Business","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"All Countries","Business","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"All Countries","Business","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"All Countries","Business","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"All Countries","Business","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"All Countries","Business","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"All Countries","Business","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"All Countries","Business","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","179"
"All Countries","Business","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","Business","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"All Countries","Business","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"All Countries","Business","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"All Countries","Business","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"All Countries","Business","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"All Countries","Business","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
