"Type of Trip","Quarter","Statistic Label","UNIT","VALUE"
"Trips with at least one overnight","2013Q4","Overseas Trips by Irish Residents","Thousand","1288"
"Trips with at least one overnight","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","657"
"Trips with at least one overnight","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1214"
"Trips with at least one overnight","2014Q1","Overseas Trips by Irish Residents","Thousand","1117"
"Trips with at least one overnight","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","526"
"Trips with at least one overnight","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1905"
"Trips with at least one overnight","2014Q2","Overseas Trips by Irish Residents","Thousand","1747"
"Trips with at least one overnight","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","986"
"Trips with at least one overnight","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2212"
"Trips with at least one overnight","2014Q3","Overseas Trips by Irish Residents","Thousand","2059"
"Trips with at least one overnight","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1294"
"Trips with at least one overnight","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1496"
"Trips with at least one overnight","2014Q4","Overseas Trips by Irish Residents","Thousand","1403"
"Trips with at least one overnight","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","701"
"Trips with at least one overnight","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1378"
"Trips with at least one overnight","2015Q1","Overseas Trips by Irish Residents","Thousand","1274"
"Trips with at least one overnight","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","582"
"Trips with at least one overnight","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2120"
"Trips with at least one overnight","2015Q2","Overseas Trips by Irish Residents","Thousand","1875"
"Trips with at least one overnight","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1185"
"Trips with at least one overnight","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2493"
"Trips with at least one overnight","2015Q3","Overseas Trips by Irish Residents","Thousand","2138"
"Trips with at least one overnight","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1541"
"Trips with at least one overnight","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1760"
"Trips with at least one overnight","2015Q4","Overseas Trips by Irish Residents","Thousand","1495"
"Trips with at least one overnight","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","862"
"Trips with at least one overnight","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1594"
"Trips with at least one overnight","2016Q1","Overseas Trips by Irish Residents","Thousand","1436"
"Trips with at least one overnight","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","684"
"Trips with at least one overnight","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2298"
"Trips with at least one overnight","2016Q2","Overseas Trips by Irish Residents","Thousand","1931"
"Trips with at least one overnight","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1247"
"Trips with at least one overnight","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2689"
"Trips with at least one overnight","2016Q3","Overseas Trips by Irish Residents","Thousand","2222"
"Trips with at least one overnight","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1680"
"Trips with at least one overnight","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1846"
