"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2019Q4","Thousand","2011"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2012Q1","Thousand","1781"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2012Q2","Thousand","4175"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2012Q3","Thousand","5195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2012Q4","Thousand","3029"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2013Q1","Thousand","1906"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2013Q2","Thousand","4489"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2013Q3","Thousand","5126"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2013Q4","Thousand","2751"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2014Q1","Thousand","2071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2014Q2","Thousand","4141"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2014Q3","Thousand","5497"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2014Q4","Thousand","2998"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2015Q1","Thousand","2354"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2015Q2","Thousand","4997"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2015Q3","Thousand","6522"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2015Q4","Thousand","3501"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2016Q1","Thousand","2708"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2016Q2","Thousand","5391"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2016Q3","Thousand","6452"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2016Q4","Thousand","3971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2017Q1","Thousand","2700"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2017Q2","Thousand","6058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2017Q3","Thousand","6610"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2017Q4","Thousand","3814"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2018Q1","Thousand","3036"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2018Q2","Thousand","5589"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2018Q3","Thousand","7162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2018Q4","Thousand","4273"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2019Q1","Thousand","3313"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2019Q2","Thousand","6246"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2019Q3","Thousand","7214"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2019Q4","Thousand","4116"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2012Q1","Thousand","689"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2012Q2","Thousand","939"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2012Q3","Thousand","1094"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2012Q4","Thousand","742"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2013Q1","Thousand","623"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2013Q2","Thousand","970"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2013Q3","Thousand","1062"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2013Q4","Thousand","836"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2014Q1","Thousand","725"
