"Area of Residence","Quarter","Statistic Label","UNIT","VALUE"
"Italy","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Italy","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","94"
"Italy","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.9"
"Italy","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Italy","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","50"
"Italy","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.3"
"Italy","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"Italy","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","39"
"Italy","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Italy","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"Italy","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","63"
"Italy","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Italy","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Italy","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","83"
"Italy","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.8"
"Italy","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"Italy","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","49"
"Italy","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Italy","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Italy","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","44"
"Italy","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Italy","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Italy","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","62"
"Italy","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Italy","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"Italy","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","98"
"Italy","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"Italy","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"Italy","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","54"
"Italy","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
