"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Other reason for journey","2017Q1","Overseas Trips by Irish Residents","Thousand","37"
"Other reason for journey","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.6"
"Other reason for journey","2017Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","22"
"Other reason for journey","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","305"
"Other reason for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Other reason for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"Other reason for journey","2017Q2","Overseas Trips by Irish Residents","Thousand","46"
"Other reason for journey","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"Other reason for journey","2017Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","28"
"Other reason for journey","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","384"
"Other reason for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Other reason for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Other reason for journey","2017Q3","Overseas Trips by Irish Residents","Thousand","56"
"Other reason for journey","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"Other reason for journey","2017Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","46"
"Other reason for journey","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","282"
"Other reason for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.8"
"Other reason for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"Other reason for journey","2017Q4","Overseas Trips by Irish Residents","Thousand","73"
"Other reason for journey","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"Other reason for journey","2017Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","60"
"Other reason for journey","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","244"
"Other reason for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.5"
"Other reason for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"Other reason for journey","2018Q1","Overseas Trips by Irish Residents","Thousand","37"
"Other reason for journey","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"Other reason for journey","2018Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","23"
"Other reason for journey","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","317"
"Other reason for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"Other reason for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","121"
"Other reason for journey","2018Q2","Overseas Trips by Irish Residents","Thousand","48"
"Other reason for journey","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.9"
"Other reason for journey","2018Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","44"
"Other reason for journey","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","430"
"Other reason for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Other reason for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"Other reason for journey","2018Q3","Overseas Trips by Irish Residents","Thousand","60"
"Other reason for journey","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.8"
"Other reason for journey","2018Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","39"
"Other reason for journey","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","302"
"Other reason for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"Other reason for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"Other reason for journey","2018Q4","Overseas Trips by Irish Residents","Thousand","55"
"Other reason for journey","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Other reason for journey","2018Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","45"
"Other reason for journey","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","267"
"Other reason for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Other reason for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","67"
"Other reason for journey","2019Q1","Overseas Trips by Irish Residents","Thousand","38"
"Other reason for journey","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"Other reason for journey","2019Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","28"
"Other reason for journey","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","411"
"Other reason for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other reason for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"Other reason for journey","2019Q2","Overseas Trips by Irish Residents","Thousand","41"
"Other reason for journey","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"Other reason for journey","2019Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","40"
"Other reason for journey","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","444"
"Other reason for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Other reason for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"Other reason for journey","2019Q3","Overseas Trips by Irish Residents","Thousand","46"
"Other reason for journey","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"Other reason for journey","2019Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","39"
"Other reason for journey","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","318"
"Other reason for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"Other reason for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"Other reason for journey","2019Q4","Overseas Trips by Irish Residents","Thousand","55"
"Other reason for journey","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8"
"Other reason for journey","2019Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","54"
