"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2019Q2","Thousand","517"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2019Q3","Thousand","676"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2019Q4","Thousand","453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2012Q1","Thousand","234"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2012Q2","Thousand","176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2012Q3","Thousand","182"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2012Q4","Thousand","167"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2013Q1","Thousand","200"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2013Q2","Thousand","230"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2013Q3","Thousand","282"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2013Q4","Thousand","408"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2014Q1","Thousand","183"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2014Q2","Thousand","352"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2014Q3","Thousand","316"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2014Q4","Thousand","331"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2015Q1","Thousand","260"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2015Q2","Thousand","256"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2015Q3","Thousand","319"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2015Q4","Thousand","275"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2016Q1","Thousand","305"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2016Q2","Thousand","296"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2016Q3","Thousand","384"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2016Q4","Thousand","233"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2017Q1","Thousand","242"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2017Q2","Thousand","342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2017Q3","Thousand","510"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2017Q4","Thousand","343"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2018Q1","Thousand","302"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2018Q2","Thousand","318"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2018Q3","Thousand","287"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2018Q4","Thousand","439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2019Q1","Thousand","283"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2019Q2","Thousand","402"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2019Q3","Thousand","347"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2019Q4","Thousand","236"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2012Q1","Thousand","559"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2012Q2","Thousand","983"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2012Q3","Thousand","2001"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2012Q4","Thousand","920"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2013Q1","Thousand","590"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2013Q2","Thousand","1310"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2013Q3","Thousand","1382"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2013Q4","Thousand","799"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2014Q1","Thousand","467"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2014Q2","Thousand","1134"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2014Q3","Thousand","1100"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2014Q4","Thousand","821"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2015Q1","Thousand","745"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2015Q2","Thousand","890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2015Q3","Thousand","1299"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2015Q4","Thousand","1086"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2016Q1","Thousand","790"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2016Q2","Thousand","878"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2016Q3","Thousand","1442"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2016Q4","Thousand","865"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2017Q1","Thousand","677"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2017Q2","Thousand","904"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2017Q3","Thousand","1063"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2017Q4","Thousand","1229"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2018Q1","Thousand","875"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2018Q2","Thousand","637"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2018Q3","Thousand","1120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2018Q4","Thousand","963"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2019Q1","Thousand","581"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2019Q2","Thousand","1026"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2019Q3","Thousand","836"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2019Q4","Thousand","1311"
