"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20154","2015Q4","Thousand","2441"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20161","2016Q1","Thousand","1651"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20162","2016Q2","Thousand","3462"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20163","2016Q3","Thousand","4708"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20164","2016Q4","Thousand","3192"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20171","2017Q1","Thousand","1750"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20172","2017Q2","Thousand","4387"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20173","2017Q3","Thousand","5342"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20174","2017Q4","Thousand","3047"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20181","2018Q1","Thousand","2045"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20182","2018Q2","Thousand","4428"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20183","2018Q3","Thousand","5989"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20184","2018Q4","Thousand","3386"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20191","2019Q1","Thousand","2157"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20192","2019Q2","Thousand","4771"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20193","2019Q3","Thousand","5312"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","03","USA and Canada","20194","2019Q4","Thousand","3295"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20121","2012Q1","Thousand","1062"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20122","2012Q2","Thousand","1332"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20123","2012Q3","Thousand","1555"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20124","2012Q4","Thousand","945"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20131","2013Q1","Thousand","1094"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20132","2013Q2","Thousand","1266"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20133","2013Q3","Thousand","2084"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20134","2013Q4","Thousand","1278"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20141","2014Q1","Thousand","1274"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20142","2014Q2","Thousand","1755"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20143","2014Q3","Thousand","2208"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20144","2014Q4","Thousand","1342"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20151","2015Q1","Thousand","1281"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20152","2015Q2","Thousand","1796"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20153","2015Q3","Thousand","2614"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20154","2015Q4","Thousand","1851"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20161","2016Q1","Thousand","1599"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20162","2016Q2","Thousand","1946"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20163","2016Q3","Thousand","2657"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20164","2016Q4","Thousand","1740"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20171","2017Q1","Thousand","1805"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20172","2017Q2","Thousand","1986"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20173","2017Q3","Thousand","2931"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20174","2017Q4","Thousand","2254"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20181","2018Q1","Thousand","1963"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20182","2018Q2","Thousand","1936"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20183","2018Q3","Thousand","3269"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20184","2018Q4","Thousand","1806"
