"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA23","Overseas Trips to Ireland","ZZAD015","Australia, New Zealand and Other Oceania","2019","2019","Thousand","224.7"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2010","2010","Thousand","35.2"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2011","2011","Thousand","49.5"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2012","2012","Thousand","48.8"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2013","2013","Thousand","55.2"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2014","2014","Thousand","64.5"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2015","2015","Thousand","67.5"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2016","2016","Thousand","64.9"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2017","2017","Thousand","79.2"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2018","2018","Thousand","93.5"
"TMA23","Overseas Trips to Ireland","ZZAZR3","Central, South and Other Americas","2019","2019","Thousand","103.2"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2010","2010","Thousand","278.1"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2011","2011","Thousand","317.5"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2012","2012","Thousand","299.6"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2013","2013","Thousand","321.9"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2014","2014","Thousand","337.4"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2015","2015","Thousand","391.6"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2016","2016","Thousand","456.8"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2017","2017","Thousand","492"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2018","2018","Thousand","573"
"TMA23","Overseas Trips to Ireland","ZZEURQ20","Other Europe (30)","2019","2019","Thousand","648.3"
